Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
5-pares-de-meias,5 Pares de Meias,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">5 Pares de Meias</span></h1>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"">Material:</span><span style=""text-align: center; font-size: 1.4em;"">Algodão, poliéster, acrílico</span>
</div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Tamanho: eur 39-43</span></div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"">Padrão:</span><span style=""text-align: center; font-size: 1.4em;"">Meias de Cores puras</span>
</div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Estação: primavera, verão e outono e inverno</span></div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Embalagem: 5 pares meias</span></div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Pacote: Saco de OPP</span></div>
<p><br></p>
<div><img style=""font-size: 1.4em; display: block; margin-left: auto; margin-right: auto;"" height=""430"" width=""501"" src=""https://ae01.alicdn.com/kf/HTB13EgOjv6H8KJjSspmq6z2WXXa6.jpg""></div>
<div style=""text-align: center;""><br></div>",DSERS,,fitness,"acessórios, mais-vendidos",TRUE,Cor,Preto,,,,,,,,,0.0,shopify,1000,continue,manual,164.46,195.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Meias-5-pares-todas-as-esta-es-masculino-de-algod-o-meias-casuais-para-homens-de.jpg_Q90.jpg_72033abe-d5cb-45a6-9d82-5f438a6e1592.jpg?v=1732038057,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Meias-5-pares-todas-as-esta-es-masculino-de-algod-o-meias-casuais-para-homens-de.jpg_Q90.jpg_72033abe-d5cb-45a6-9d82-5f438a6e1592.jpg?v=1732038057,kg,,,TRUE,,,TRUE,,,active
luva-para-ciclismo,Luva para malhar e ciclismo,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">Luva para malhar e ciclismo</span></h1>
<p style=""text-align: center;"">Ideal para o seu treino do dia a dia. Essas luvas são indicadas para atletas profissionais e amadores que praticam ciclismo. Atletas que necessitam proteger as mãos e de firmeza na pegada para minimizar os riscos. Proporciona dissipação do calor, maior estabilidade.</p>
<p style=""text-align: center;"">Funcionalidade - Exercícios com mais estabilidade, dando mais qualidade e melhores resultados a pegada e movimentos</p>
<div style=""text-align: center;"">
<br><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H2ac2101c8aba409a8903f2ff137592ceP.webp?v=1732120909"" alt=""""><br>
</div>
<div style=""text-align: center;""><img height=""538"" width=""538"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H7446b506a7b049e98998bcbbc6474271f.webp?v=1732120909"" alt=""""></div>
<p><br></p>",DSERS,,fitness,"acessórios, mais-vendidos",TRUE,Tamanho,M,,,,,,,,,0.0,shopify,1000,continue,manual,134.00,150.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Designsemnome_2.png?v=1732038055,1,Luva para malhar e ciclismo - Gadarelo,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Designsemnome_2.png?v=1732038055,kg,,,TRUE,,,TRUE,,,active
manguito-esportivo-02-pecas,Manguito Esportivo 02 Peças,"<h1 class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr"" style=""text-align: center;""><span style=""color: #b3b3b3;"">Manguito Esportivo 02 Peças</span></h1>
<h3 class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr"" style=""text-align: center;"">Esse produto é perfeito para suas atividades!</h3>
<div class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr"" style=""text-align: center;"">Ele permite uma melhor experiência em exposição ao sol e ao frio.</div>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><br></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt""><strong><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hbf926fe74c104e5ea5ae575f237f0ce92.webp?v=1732121323"" width=""549"" height=""549""></strong></span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hb43a4afe61284125ba2040b5d875cadam.webp?v=1732121336"" width=""539"" height=""539""></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""> </p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" id=""tw-target-text"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt""><strong>ESPECIFICAÇÕES</strong><br><br>Mangas para braço: Sport Arm Sleeves</span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Tipo: mangas esportivas</span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Adequado: Esporte ao ar livre/Dirigir/Pesca</span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Quantidade: 2 peças = 1 par </span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Número do modelo: mangas de braço antiderrapantes</span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Material: Poliéster</span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Comprimento: 37 ~ 43 cm</span></p>
<p class=""tw-data-text tw-text-large tw-ta"" data-placeholder=""Tradução"" dir=""ltr""><span class=""Y2IQFc"" lang=""pt"">Gênero: Unissex</span></p>
<div><br></div>
<div style=""text-align: center;""> Temos o orgulho em dizer que <b>garantimos o recebimento</b> com qualidade </div>
<div style=""text-align: center;"">desse produto ou seu dinheiro de volta!</div>
<div class=""detailmodule_html"">
<div class=""detail-desc-decorate-richtext"">
<div class=""detailmodule_image""><br></div>
</div>
</div>
",Dsers,,fitness,"acessórios, mais-vendidos",TRUE,Cor,Preto,,,,,,,,,0.0,shopify,1000,continue,manual,79.00,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H3c8dfef2ed074886be4a53871ce97c6cD_500x_cae9e696-548b-44fa-b121-fdfb7c44c2d9.jpg?v=1732038053,1,Manguito Esportivo 02 Peças - loja top certa,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H5ee3bbbee1684a46a8b0501b659fdcf6y_500x_130c6cfa-e8d6-463f-b9c0-7f2f90388ce6.jpg?v=1732038053,kg,,,TRUE,,,TRUE,,,active
tiara-de-yoga,Tiara de Yoga,"<h1 data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><strong>Tiara de Yoga</strong></h1>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">A tiara de yoga é um acessório usado para adicionar estilo e beleza à prática de yoga. É feita de metal leve e decorada com cristais e pedras coloridas. Ela é colocada na parte superior da cabeça, onde é mantida em seu lugar por meio de um elástico ou fita. O seu uso sublinha a importância do crescimento espiritual e a conexão com a natureza. É também usada na prática de meditação, pois acredita-se que ela possa ajudar a concentrar o fluxo de energia em torno da cabeça. Além disso, ela pode servir como um símbolo da feminilidade e força.</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">
<strong><span data-offset-key=""ijaq-207-0""></span></strong><br>
</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><strong>Detalhes do produto:</strong></div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">Peso: 30 ⁄</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><span data-mce-fragment=""1"" style=""font-family: 'comic sans ms';"" face=""comic sans ms""><span data-mce-fragment=""1"">Tamanho: 25*15cm/25*8.5cm</span></span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"">Lista de poliéster: 1 pcs tiaras</span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"">Conforto garantido na hora da sua Yoga ou qualquer outro exercício. </span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><strong>Adquira esse produto em nossa loja com promoção.</strong></div>
<div data-mce-fragment=""1""><strong><img height=""554"" width=""554"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/HTB1i1TjaHj1gK0jSZFOq6A7GpXaG.webp?v=1732126017"" alt=""""></strong></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><br></div>",DSERS,,fitness,"acessórios, mais-vendidos",TRUE,Cor,Preto,,,,,,,,,0.0,shopify,1000,continue,manual,99.99,135.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Tiara-esportiva-antiderrapante-feminina-faixa-de-cabelo-el-stica-para-corridas-cachecol-faixas-de-cabelo-acess.jpg_Q90.jpg_3876cb30-2139-4647-9f26-7a5d0c8a19ae.jpg?v=1732038047,1,Tiara de Yoga - lojarotinanatural,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Tiara-esportiva-antiderrapante-feminina-faixa-de-cabelo-el-stica-para-corridas-cachecol-faixas-de-cabelo-acess.jpg_Q90.jpg_3876cb30-2139-4647-9f26-7a5d0c8a19ae.jpg?v=1732038047,kg,,,TRUE,,,TRUE,,,active
tenis-confort-max,Tênis Confort Max,"<h1 style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Tênis Confort Max</h1>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Um item básico do guarda-roupa e estilo para o homem moderno, esses sapatos são perfeitos para o outono. A parte superior de couro é combinada com uma sola de crepe rústica que oferece estabilidade e flexibilidade. Os detalhes contemporâneos incluem um fechamento com cadarço e detalhes costurados no cano.</p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []""><img height=""646"" width=""532"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S80287ae646ea453b957677a223fc7741z.webp?v=1732123141"" alt=""""></p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Este sapato casual de aço para homens e mulheres tem cabedal respirável e é definitivamente um bom ajudante no trabalho. Design ultraleve, mais leve do que os sapatos de segurança leves comuns, reduz a carga do dia de trabalho duro.</p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []""><img height=""589"" width=""547"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Sbd5f626d78f14bfb930667a5cf607893O.webp?v=1732123141"" alt=""""></p>",DSERS,,fitness,"calçados, mais-vendidos",TRUE,Tamanho,39,,Cor,Preto,,,,,,0.0,shopify,1000,continue,manual,457.26,515.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/2022-novos-homens-profissional-almofada-de-ar-malha-respir-vel-t-nis-corrida-sapatos-moda-esportes.jpg_Q90.jpg_bc97cfaa-f16e-4059-9283-908812fd6821.jpg?v=1732038045,1,Tênis Confort Max - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/2022-novos-homens-profissional-almofada-de-ar-malha-respir-vel-t-nis-corrida-sapatos-moda-esportes.jpg_640x640_885c7c0d-432f-47bb-9315-223e5216b669.jpg?v=1732038045,kg,,,TRUE,,,TRUE,,,active
tenis-esportivo-ortopedico,Tênis Esportivo Ortopédico,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">Tênis Esportivo Ortopédico</span></h1>
<div style=""text-align: center;""><br></div>
<h3 class=""text-title"" style=""text-align: center;""><em>Mais fortes do que uma bota de caminhada. Mais macios que um chinelo confortável.</em></h3>
<div id=""galleryReview"" class=""gallery-review"" style=""text-align: center;""><br></div>
<div style=""text-align: center;""> <b>Proteja e cuide. Feito para pés femininos,</b> com uma sola de borracha moldada com uma almofada de ar macia no calcanhar que distribui a pressão para uma caminhada mais suave e sem dor.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Sem renda. </b>O tecido macio e tricotado envolve seu pé sem a necessidade de atacadores.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Leve e fácil. </b>Confie na sola durável com almofada de ar e borracha antiderrapante premium para caminhar o dia todo.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Eco Friendly.<span> </span></b>Produzido de forma sustentável, usando apenas materiais veganos, nenhum produto de origem animal é usado em nossos sapatos.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Tamanhos disponíveis:</b><span> </span>Sempre temos estoque em uma variedade de tamanhos de 34 a 40 (tamanhos femininos no Brasil).</div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H5bfa61ceb7b544e3a4d8dbc5ee6f958dj.webp?v=1732123520"" width=""541"" height=""541""></div>
<div style=""text-align: center;"">
<h3 class=""text-title"">Caminhada suave como a seda.</h3>
<p>Experimente <b>conforto indulgente,</b> um aumento de altura atrevido e salto estável do calcanhar aos dedos do pé.</p>
<p>Mantenha uma excelente aderência com a <b>sola moldada antiderrapante,</b> mesmo em terrenos difíceis.</p>
<p><b>Esqueça que está usando,</b> mesmo depois de ficar em pé o dia todo.</p>
<div>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hb65717af5af34544b8c433b291430c3bx.webp?v=1732123520"" width=""543"" height=""724""> <br></p>
<div>
<h2 class=""text-center section-title"">O equilíbrio perfeito entre suavidade e suporte.</h2>
<p class=""section-text"">Conheça os sapatos mais macios da internet! Projetado para equilibrar seu peso perfeitamente do calcanhar aos dedos do pé com um salto suave e reconfortante.</p>
<p class=""section-text""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Ha30c68971d984919809607381458c5afR.webp?v=1732123520"" width=""543"" height=""543""></p>
</div>
</div>
</div>
",DSERS,,fitness,"calçados, mais-vendidos",TRUE,Cor,Preto,,Tamanho,35,,,,,,0.0,shopify,1000,continue,manual,303.38,350.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hipersoft-t-nis-mulher-2021-ortop-dico-t-nis-para-mulher-plataforma-branco-preto-vermelho-sapatos.jpg_640x640_cd5b7dae-2967-4f9d-968c-eec18090e1da.jpg?v=1732038041,1,Tênis Esportivo Ortopédico - shopfalcao,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hipersoft-t-nis-mulher-2021-ortop-dico-t-nis-para-mulher-plataforma-branco-preto-vermelho-sapatos.jpg_640x640_5816530c-8261-44fe-9d6f-e5a19d423511.jpg?v=1732038041,kg,,,TRUE,,,TRUE,,,active
tenis-flex,Tênis Flex,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3; font-size: 1.4em;""><strong style=""text-align: center; font-size: 1.4em;"">Tênis Flex</strong></span></h1>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Sexo</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Unissex"">Unissex 2024</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Função</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Controle de movimento"">Controle de movimento</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Característica</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Respirável"">Respirável</span>
</div>
<div style=""text-align: center;""><img height=""553"" width=""553"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H77e41a67661b4909bb15c67f84b3082cS.webp?v=1732124097"" alt=""""></div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Característica</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Aumento de altura"">Aumento de altura</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Material da palmilha</span>: </strong><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Plutônio"">Plutônio</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Tipo de calçado de atletismo</span>: </strong><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Tênis de corrida"">Tênis de corrida</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Material da parte superior</span>: </strong><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Malha (malha aérea)"">Malha (malha aérea)</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Tipo de Fecho</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Amarrar"">Amarrar</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Ajuste</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Se ajusta ao tamanho, use seu tamanho normal"">Se ajusta ao tamanho, use seu tamanho normal</span>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><br></div>
<p><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H3df346f198304a9c9913cea3bdc4a5beK.webp?v=1732124098"" alt=""""></p>",DSERS,,fitness,"calçados, mais-vendidos",TRUE,Tamanho,37,,Cor,Bege,,,,,,0.0,shopify,1000,continue,manual,425.12,460.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/T-nis-de-corrida-masculino-e-casal-sapatos-casuais-antiderrapantes-leves-para-homens-e-mulheres-moda.png_640x640_27002164-a49e-4a8f-ba59-305ce04c7dc5.png?v=1732038038,1,Tênis Flex - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/T-nis-de-corrida-masculino-e-casal-sapatos-casuais-antiderrapantes-leves-para-homens-e-mulheres-moda.png_640x640_27002164-a49e-4a8f-ba59-305ce04c7dc5.png?v=1732038038,kg,,,TRUE,,,TRUE,,,active
tenis-max-confort,Tênis Max Confort,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;""><strong data-mce-fragment=""1"">Tênis Max Confort</strong></span></h1>
<div style=""text-align: center;""><strong data-mce-fragment=""1"">O estilo e o conforto que você merece.</strong></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Desconfortos nos pés podem estar relacionados ao tipo de calçado que você usa. Utilizar um calçado confortável é o jeito mais ideal de evitar futuros problemas e cansaço nos pés.</span></div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Saca1be1b83774369b61ef51c47c5f7e3g.webp?v=1732124617"" width=""549"" height=""549""></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Feitos com os mais altos padrões tecnológicos, eles põem um fim ao desconforto e trazem alívio imediato para aqueles que sofrem com cansaço nos pés, ou para aqueles que precisam ficar de pé por longas horas em suas vidas diárias.</span></div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S43813b6d48374aa3a8af28bdbc6dccf7B.webp?v=1732124617"" width=""541"" height=""541""></div>
<div style=""text-align: center;"">
<p><span><strong>Especificações:</strong></span></p>
<div><span>-Material: Malha</span></div>
<div><span>-Incluso no Pacote: 1x Tênis Confortável</span></div>
<div><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Sdcd7c2c3c95e437e8bc9218d76ff663ai.webp?v=1732124618"" width=""551"" height=""551""></div>
</div>",DSERS,,fitness,"calçados, mais-vendidos",TRUE,Tamanho,35,,Cor,Preto,,,,,,0.0,shopify,1000,continue,manual,408.30,450.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Xiaomi-mijia-mi-menment-nis-de-corrida-sapatos-caminhada-gin-sio-moda-esportes-luz-sapatos-casuais.jpg_640x640_7cb81248-c20b-47d8-9c2e-50b24f1a81c7.jpg?v=1732038036,1,Tênis Max Confort - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Xiaomi-mijia-mi-menment-nis-de-corrida-sapatos-caminhada-gin-sio-moda-esportes-luz-sapatos-casuais.jpg_640x640_7cb81248-c20b-47d8-9c2e-50b24f1a81c7.jpg?v=1732038036,kg,,,TRUE,,,TRUE,,,active
tenis-meia,Tênis Meia,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #b3b3b3;"">Tênis Meia</span></h1>
<div style=""text-align: center;"">
<span data-mce-fragment=""1"">O tênis</span><span data-mce-fragment=""1""> meias foi pensado para </span><strong data-mce-fragment=""1"">VOCÊ</strong><span data-mce-fragment=""1""> que quer utilizar um tênis de forma casual,</span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">ideal para passeio e lazer. Estiloso e disponível nas cores PRETO, ROXO, ROSA e CINZA, adequando-se ao seu próprio estilo!</span></div>
<div style=""text-align: center;""><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S03b0774c8f764393901e6b2ebb695d51e.webp?v=1732124994"" alt=""""></div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Material</strong><span data-mce-fragment=""1""> de alta qualidade: Malha (aérea)</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Tipo de fecho:</strong><span data-mce-fragment=""1""> Amarrar;</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Material do Forro:</strong><span data-mce-fragment=""1""> Mesh</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Estilo:</strong><span data-mce-fragment=""1""> Casual;</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Material da sola: RUBBER</strong><span data-mce-fragment=""1""> (Thermoplastic Rubber) o solado em TR</span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">apresenta muita aderência e estabilidade, além da flexibilidade,</span></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">resistência térmica e alto desempenho.</span></div>
<div style=""text-align: center;""><img height=""550"" width=""550"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S62ab648d65614ee0a0f5cd76f18cc524l.webp?v=1732124994"" alt=""""></div>
<div style=""text-align: center;"">
<div><br></div>
<div><br></div>
</div>",DSERS,,fitness,"calçados, mais-vendidos",TRUE,Tamanho,36,,Cor,Rosa,,,,,,0.0,shopify,1000,continue,manual,328.76,370.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Senhoras-t-nis-respira-o-sola-macia-sapatos-femininos-t-nis-de-corrida.jpg_640x640_e4e1558b-3894-4851-9987-a4ec66ac3667.jpg?v=1732038033,1,Tênis Meia - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Senhoras-t-nis-respira-o-sola-macia-sapatos-femininos-t-nis-de-corrida.jpg_640x640_e4e1558b-3894-4851-9987-a4ec66ac3667.jpg?v=1732038033,kg,,,TRUE,,,TRUE,,,active
tenis-meia-unissex,Tênis Meia Unissex,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"">Tênis Meia Unissex</span></h1>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Tênis sock sneaker em tecido elástico preto. Solado robusto emborrachado branco.</span></div>
<div style=""text-align: center;"">
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H0cd7f75c0c804e1998686de138ca00586.webp?v=1732125215"" width=""541"" height=""634""></p>
<p>Detalhes: Pespontos / Cano Alto / Sem Cadarço </p>
<p>Solado: Borracha</p>
<p>Palmilha: PU (Poliuretano)</p>
<p>Peso Pé: 278g (Aprox.)</p>
<p>Salto: 5cm (Aprox.)</p>
<p><img src=""https://ae01.alicdn.com/kf/Hb3952edba7bd46cfabe06fe99820c31eJ.jpg?width=800&amp;height=845&amp;hash=1645"" width=""501"" height=""529""></p>
<div><br></div>
<div><br></div>
</div>
",DSERS,,fitness,"calçados, mais-vendidos",TRUE,Tamanho,34,,Cor,Preto,,,,,,0.0,shopify,1000,continue,manual,412.40,460.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/2021-das-mulheres-dos-homens-da-moda-t-nis-de-malha-masculino-sapatos-esportivos-senhora-formadores.jpg_Q90.jpg_546f2a05-f16c-4720-9e12-e5cba53672de.jpg?v=1732038031,1,Tênis Meia Unissex - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8363/6002/files/2021-das-mulheres-dos-homens-da-moda-t-nis-de-malha-masculino-sapatos-esportivos-senhora-formadores.jpg_Q90.jpg_546f2a05-f16c-4720-9e12-e5cba53672de.jpg?v=1732038031,kg,,,TRUE,,,TRUE,,,active
