Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
three-color-up-cream-to-brighten-the-skin-refreshing-and-moisturizing-bb-cream-natural-nude-makeup-base-de-maquillaje,Makeup Primer,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Makeup Primer</span></h1>
<p style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: rgb(0, 0, 0);""> This Refreshing and Sophisticated Ductility Makeup by Lamptti is perfect for all women who want a beautiful and modern appearance. This makeup is formulated with nourishing oils, vitamins, and other ingredients to provide hydration to the skin. The product is ideal for those seeking a light, fresh, and sophisticated finish, perfectly matching different styles and occasions. </span></p>
<p style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""></span> <span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <img height=""552"" width=""499"" src=""https://m.media-amazon.com/images/I/714wH5sFrwL._AC_SL1500_.jpg""> </span></p>
<h2 style=""text-align: left;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <span style=""color: #000000;"">Specifications:</span><br></span></h2>
<p><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <span style=""color: #000000;"">Type: Refreshing and Sophisticated Ductility Makeup<br>Brand: Lamptti<br>Ingredients: nourishing oils, vitamins, other ingredients<br>Coverage: Lasting and smooth shine<br>Size: 9.5 g</span> </span></p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, makeup",TRUE,Title,Default Title,,,,,,,,200001176:10#01;200007763:201336100,0.0,shopify,1000,continue,manual,94.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Se67acbb866b44ea4b4b0d5d118a0a291q.jpg?v=1732039535,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S3dcb42fc4b554464b6e41a6e70e49f58w.jpg?v=1732039535,kg,,,TRUE,,,TRUE,,,active
high-quality-masscaku-fast-blooming-eyelashes-easy-fan-faux-mink-eyelash-extension-soft-natural-auto-fanning-lashes-makeup-tools,Make-up Super Long Easy Fanning False Eyelashes,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Make-up Super Long Easy Fanning False Eyelashes</span></h1>
<p style=""text-align: center;"">Make-up Super Long Easy Fanning False Eyelashes is a makeup technique that adds long extensions to the eyelids, thus providing a more dramatic and sensual look. With the help of false eyelashes, specially designed for this purpose, the technique allows achieving an impressive and long-lasting effect.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/bc16b925-57ca-4cc0-9d92-e52dd30802a3_480x480.jpg?v=1683807228"" alt=""""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p><br>False Eyelashes: Suitable for this effect. Made of synthetic or inorganic material, slightly crimped and flexible.<br>Tools: tweezers, false eyelash remover, eyelash adhesive or glue, and eyelash curler.<br>Application: Clean the eyelid area and apply the adhesive or glue to the false eyelashes. With the tweezers, pick up the lashes and start sticking them to the upper line of the natural lashes, carefully. For a stronger effect, stick the lashes further away, repeating the process, and try not to disturb the natural lashes. Finally, use the eyelash curler to give a fine touch to the look.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, makeup",TRUE,Style,C,,Material,0.05mm,,Size,8mm,,200007566:3616;200007567:200007901;200007568:100016941,0.0,shopify,1000,continue,manual,44.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Ae4502907074c49e5976fca6e93a7e20ct.jpg?v=1732039531,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Ae4502907074c49e5976fca6e93a7e20ct.jpg?v=1732039531,kg,,,TRUE,,,TRUE,,,active
eyeshadow-pencil-set-12-colors-waterproof-long-lasting-glitter-shimmer-eye-shadow-pen-highlighter-stick-eyes-makeup-tools,Eyeshadow Set,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Eyeshadow Set</span></h1>
<p style=""text-align: center;"">This eyeshadow box contains 12 stunning colors to create a complete look for any occasion! This box includes rich tones and incredible accents that provide a flawless finish and enhance your skin tone. This eyeshadow palette is perfect for those who want to highlight their natural beauty with sophistication.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/dcc9476b-01e7-4a53-acab-5ba87f638385_480x480.jpg?v=1683806534"" alt=""""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>-12 Colors<br>-Waterproof<br>-Long-lasting<br>-Rich and perfected tones<br>-Highly pigmented<br>-Suitable for all occasions</p>
<p style=""text-align: center;""><br></p>
<p style=""text-align: center;""> </p>",DSERS,,saúde e beleza+30.1,"best-sellers, makeup",TRUE,Style,1,,,,,,,,200001176:200004889#01,0.0,shopify,1000,continue,manual,39.90,69.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sa5fe50e8fc7c46d591eb83f052752afaU.jpg?v=1732039529,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S4a2717ea2840461a80e4bef2899e469cR.jpg?v=1732039529,kg,,,TRUE,,,TRUE,,,active
jessup-makeup-brushes-10-14pcs-makeup-brush-set-synthetic-foundation-powder-contour-eyeshadow-liner-blending-highlight-t329,Violet Makeup Brush,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"">Violet Makeup Brush</span></h1>
<p style=""text-align: center;"">The Cosmetic Makeup Brush Kit is ideal for those who want to effectively apply their blush, foundation, contour, highlighter, eyeshadow, powder, among other makeup products. Made with synthetic fibers, the brushes offer softness and precision in use, providing a professional and uniform finish.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/Sb1071af5b4b44e07911b207754eb5dddE_4347858d-2d93-45bc-a033-4d189d58e333_480x480.jpg?v=1683807687"" alt=""""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>- Handles: made of bamboo, an eco-friendly, biodegradable, and highly durable raw material<br>- Bristles: made with non-toxic material, delicately coated<br>- Kit: contains 10 makeup brushes<br>- Application: ideal for applying blush, foundation, contour, highlighter, eyeshadow, powder, among other makeup products</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, makeup",TRUE,Style,T329- 14PCS,,,,,,,,200007787:193#T329- 14PCS;200007763:201336100,0.0,shopify,1000,continue,manual,299.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sb1071af5b4b44e07911b207754eb5dddE.jpg?v=1732039525,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Ueea596220971419589ff057f741024021.jpg?v=1732039525,kg,,,TRUE,,,TRUE,,,active
powder-8g-flawless-setting-powder-foundation-for-perfecting-micro-makeup-soft-focus-setting-oil-control-light-skin-normal-size,Charlotte Tilbury Magic Vanish,"<h1 class=""nome-produto titulo cor-secundaria"" style=""text-align: center;"" itemprop=""name""><span style=""color: #ff8000;"">Charlotte Tilbury Magic Vanish</span></h1>
<p style=""text-align: center;"">Charlotte Tilbury Magic Vanish Pin 8ml is an instant correction treatment that offers a flawless, long-lasting finish. With a lightweight formula that quickly dissolves makeup, it cleanses and corrects finish errors for blemish-free skin.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/S0b353512ce104743bf9df631a347c81fr_480x480.jpg?v=1683809150"" alt=""""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Charlotte Tilbury Magic Vanish Pin 8ml | Colorrector | Liquid | 8ml <br>Ingredients: Aqua / Water / Eau, Glycerin, Paraffinum Liquidum / Mineral Oil / Huile Minérale, Cetearyl Stearate, Polysorbate 60, Sodium Polyacrylate, Carbomer, Sorbitol, Honey / Honey (Mel / Miel), Vine Leaf Extract (Vitis Vinifera), Glyceryl Acrylate/Acrylic Acid Copolymer, PPG-26-Buteth-26, Diazolidinyl Urea, Pentylene Glycol, Dimethicone, DMDM Hydantoin, Xanthan Gum, Tocopheryl Acetate, Disodium EDTA, Fragrance (Parfum), Sweet Almond (Prunus Amygdalus Dulcis) Oil, Barium Sulfate, Sodium Benzoate.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, makeup",TRUE,Style,1,,,,,,,,200001176:200004889#01-Fair,0.0,shopify,1000,continue,manual,179.90,229.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sb934ed30ea044d309574c081c145b7c5r.jpg?v=1732039520,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sb934ed30ea044d309574c081c145b7c5r.jpg?v=1732039520,kg,,,TRUE,,,TRUE,,,active
2023-blush-makeup-palette-mineral-powder-red-rouge-lasting-natural-cream-cheek-tint-orange-peach-pink-blush-women-cosmetic,Heart Powder Blush,"<h1 data-store=""product-name-127916098"" class=""js-product-name h2 h1-md"" style=""text-align: center;""><span style=""color: #ff8000;"">Heart Powder Blush</span></h1>
<p style=""text-align: center;"">The Heart Powder Blush Lyrics from Erva Doce is a loose powder with intense pigmentation to illuminate and enhance the radiance of your face with a touch of charm. Its velvety texture offers easy application, highlighting your best contours and creating a natural and radiant effect.</p>
<p style=""text-align: center;""><span><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/Seb0c4481cded403eaa0e38f8813c920bC_480x480.jpg?v=1683804887"" alt=""""></span></p>
<h2 style=""text-align: left;""><span>Specifications:</span></h2>
<p>Type: Loose powder <br>Texture: Velvety<br>Pigmentation: Intense <br>Adherence power: High<br>Contents: Microspheres <br>Suitable for: All skin tones<br>Benefit: Enhances face radiance, blushes the skin, illuminates and minimizes pores</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, makeup",TRUE,Style,A01,,,,,,,,200001176:200004889#A01 Cream orange;200007763:201336100,0.0,shopify,1000,continue,manual,129.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Seb0c4481cded403eaa0e38f8813c920bC.jpg?v=1732039518,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S831407d9dc914f54b345d050c88a252dU.jpg?v=1732039518,kg,,,TRUE,,,TRUE,,,active
pink-beeswax-gua-sha-tools-massager-for-face-facial-skin-care-roller-guoache-scraper-set-beauty-health-tools,Facial Massager Kit,"<h1 class=""product-title"" style=""text-align: center;""><span style=""color: #ff8000;"">Facial Massager Kit</span></h1>
<p style=""text-align: center;"">The Nanikas Brasil Facial Massager Kit is a professional product that helps reduce puffiness and improves skin microcirculation. It has two different massage heads, made of durable, skin-friendly, and inert stainless steel. The flat head is ideal for gentle facial massage, while the textured head provides deep muscle stimulation and relaxation.</p>
<p style=""text-align: center;""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0694/0432/8211/products/S2c67543e46c2447797fb9bf662ad2734d_1024x1024.jpg?v=1680057430""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Material: Stainless steel<br>Size: 11 x 4 x 1.5 cm<br>Weight: 33 g<br>Type: Water-resistant<br>Massage head: 2 (flat and textured)</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, beauty",TRUE,Color,Green,,,,,,,,14:350850#green;200007763:201336100,0.0,shopify,1000,continue,manual,99.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sde01ebc6c33c4f31bb61fe4047ea295bu.jpg?v=1732039514,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sdd7f3dc21d304218bb9a05192796aabfR.jpg?v=1732039514,kg,,,TRUE,,,TRUE,,,active
ems-v-face-beauty-device-intelligent-electric-v-face-shaping-massager-to-removing-double-chin-sleeping-beauty-device-face-shape,FaceFit Pro,"<h1 style=""text-align: center;"" class=""product-title"">
  <span style=""color: #ff8000;"">FaceFit Pro</span>
</h1>
<p style=""text-align: center;"">
  The V-Face Beauty Device is an intelligent double chin removal device that helps to relax, soothe, and reduce sagging over time. The device works gently on the skin through vibrations and light pressure strokes, promoting blood circulation and helping to effectively tone the skin.
</p>
<p style=""text-align: center;"">
  <img alt="""" src=""https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sf8838c7bd6ea4bcbba973542b41c801bZ.jpg?v=1732039509"" width=""548"" height=""548"">
</p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Compatibility | Universal<br>Material | Plastic<br>Intensity Adjustment | Three levels<br>Treatment Method | Vibration and pressure<br>Size | 19 x 12.5 cm<br>Weight | 125g<br>Power Supply | Battery<br>Battery Type | Rechargeable battery</p>
<p style=""text-align: center;""><br></p>
",DSERS,,saúde e beleza+30.1,"best-sellers, beauty",TRUE,Style,1,,,,,,,,14:350853#Device and Gel,0.0,shopify,1000,continue,manual,149.90,209.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sf8838c7bd6ea4bcbba973542b41c801bZ.jpg?v=1732039509,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sb5d050f2385446769adcdb21aa1a1c1dL.jpg?v=1732039509,kg,,,TRUE,,,TRUE,,,active
7pcs-set-makeup-sponge-set-face-beauty-cosmetic-powder-puff-for-foundation-cream-concealer-make-up-tools,Beauty blender Lua,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ff8000;"">Beauty blender Lua</span></h1>
<p style=""text-align: center;"">The Beauty Blender LUA is a multifunctional facial foundation applicator like no other. It features a slightly wider and rounded oval shape to facilitate coverage of larger areas of the face, such as the nose, cheeks, and chin. Its finer side allows it to reach smaller and more delicate areas, ensuring an even and precise application.</p>
<p style=""text-align: center;""><span><img height=""528"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0595/5331/7004/products/png_1_1883c7d0-2e9d-4714-8c17-b834abb413f6_600x.png?v=1681914391""></span></p>
<h2 style=""text-align: left;""><span>Specifications:</span></h2>
<p>Type of applicator | Multifunctional applicator <br>Material | Foam<br>Usage | Liquid foundation, cream, and powder <br>Shape | Slightly wider and rounded oval for coverage of larger areas, finer sides for detailed application <br>Size | 8.6 cm x 4.5 cm <br>Color | Pink</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, beauty",TRUE,Color,Green,,,,,,,,14:29#Green,0.0,shopify,1000,continue,manual,34.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S30e225b5bff34a81a61ab337f4e0e977k.jpg?v=1732039505,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S819da2a798254672b1aa5fe1e74cba0aT.jpg?v=1732039505,kg,,,TRUE,,,TRUE,,,active
laser-plasma-pen-for-skin-tag-remover-freckle-black-dot-papilloma-warts-mole-pimples-tattoo-removal-laser-pen-beauty-care-tools,Plasma Laser Pen - Spot and Wart Remover,"<h1 class=""product-single__title"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Plasma Laser Pen - Spot and Wart Remover</span></h1>
<p style=""text-align: center;"">The ZNOVE Plasma Laser Spot and Wart Remover Pen is an innovative device ideal for those who want to remove spots and warts quickly, effectively, and efficiently. The device features an ergonomic, portable, and smart design, making its use even easier and more practical.</p>
<p style=""text-align: center;""><span><img src=""https://thumbor.cartpanda.com/g2USQBLZhPOdeCV1SW0U4bfz_JU=/2048x2048/https://assets.mycartpanda.com/static/products_images/ce/01/01/1680007941.png?v=13252247658"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">Its retractable facial tip allows for the quick, safe, and effective removal of spots and warts such as solar lentigines, age spots, acne spots, small warts, and other skin impurities. Additionally, it can be used for lesion treatment.</p>
<p style=""text-align: center;""><span><img src=""https://thumbor.cartpanda.com/QVgOtLzzXrn4KjsIb23J2f4URdQ=/2048x0/https://assets.mycartpanda.com/static/products_images/d0/c1/ae/1680007947.jpg?v=13252247658"" width=""500"" height=""402""></span></p>
<p style=""text-align: center;"">This Plasma Laser Spot and Wart Remover Pen is recommended by dermatologists for the quick and safe removal of warts and skin spots. Its use is intuitive, safe, and reliable, making it a considered treatment for the removal of spots and warts.</p>
<p style=""text-align: center;""><span><img src=""https://thumbor.cartpanda.com/i2O_R3lb3ize2HRJLRVqDFXFQlA=/2048x2048/https://assets.mycartpanda.com/static/products_images/88/37/8d/1680008168.jpg?v=13252247658"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: center;""><span>Specifications:</span></h2>
<p>- Technology: high frequency and ultrasound mechanism.<br>- Utility: quick, safe, and effective removal of spots and warts. <br>- Design: ergonomic, portable, and smart.<br>- Cable: long cable to facilitate treatment in different body areas.<br>- Recommended by dermatologists for the quick and safe removal of skin spots and warts.<br>- Safe and reliable for the removal of skin spots and warts.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"best-sellers, beauty",TRUE,Style,SP1923-GD,,,,,,,,14:350850#SP1923-GD;200007763:203372089,0.0,shopify,1000,continue,manual,179.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S73470ab790b14d66a4d252520bbd028dz.jpg?v=1732039501,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/7672/2735/files/S85a5999922064196bd39a0897993f095o.jpg?v=1732039501,kg,,,TRUE,,,TRUE,,,active
