Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
sun-moon-tarot-cat-tapestry-wall-hanging-witchcraft-you-are-a-child-of-the-universe-bohemia-home-decor-hippie-bedroom-decor,Wall Tapestry,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ffff00;"">Wall Tapestry</span></h1>
<p style=""text-align: center;"">The Cat Sun Moon Wall Tapestry is a decorative piece that will create a charming and modern atmosphere in your room. With velvet fabric tones in beige and brocade, the tapestry covered with fun and cheerful prints of a cat, sun, and moon is a favorite among...</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""2vtr3-270-0""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0685/8417/7952/products/S50256ea69cfa4d1cbc1e231b1cdd4838C_600x.jpg?v=1670555038""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""2vtr3-270-0"">Specifications:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""2vtr3-270-0"">Size: 38"" x 26""<br>Material: Velvet and brocade<br>Color: Blue, beige, and black<br>Weight: Approximately 400 g<br>Shape: Rectangular<br>Includes: Fixings</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"decor, best-sellers",TRUE,Size,95X73cm,,Color,1,,,,,5:201446767#95X73cm;14:202530806#1,0.0,shopify,0,continue,manual,54.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Scd08d0a0ba924c2bbb2c28b726c737f0m.jpg?v=1731613340,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Scd08d0a0ba924c2bbb2c28b726c737f0m.jpg?v=1731613340,kg,,,TRUE,,,TRUE,,,active
cartoon-fish-tank-decor-figures-ornaments-simulation-resin-pineapple-house-fish-tank-decoration-landscaping-aquarium-accessories,SpongeBob Aquarium Decoration,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ffff00;"">SpongeBob Aquarium Decoration</span></h1>
<p style=""text-align: center;"">The Cartoon fish tank figure aquarium decoration is made of high-quality resin and a durable frame. It is resistant to high temperatures and is great as an aquarium landscape. It comes in a beautiful and unique pineapple shape, adding a special touch to your aquarium.</p>
<p style=""text-align: center;""><span data-offset-key=""dep88-174-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0683/1721/7051/products/S258ee404506f4b8f9fed018bede7a0a12_1_600x.jpg?v=1677036184"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">This decoration has a night sky light content, making your aquarium look illuminated while adding a romantic atmosphere. It is thick, durable, and maintenance-free, making it a great decoration for your aquarium.</p>
<p style=""text-align: center;""><span data-offset-key=""dep88-263-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0683/1721/7051/products/HTB11F_EQwHqK1RjSZFPq6AwapXaI_600x.jpg?v=1677036184"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""dep88-263-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""dep88-263-0"" data-mce-fragment=""1"">| Material | Resin |<br>| Size | 6.8 x 4.7 x 6.3 cm |<br>| Weight | 78g |<br>| Style | Pineapple |<br>| Night Light | Yes |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"decor, best-sellers",TRUE,Style,A,,,,,,,,14:29#A,0.0,shopify,0,continue,manual,54.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S258ee404506f4b8f9fed018bede7a0a12.jpg?v=1731613337,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S16dae072915a44289766f9fe6c2f16db7.png?v=1731613337,kg,,,TRUE,,,TRUE,,,active
home-decor-accessories-retro-world-globe-modern-learning-world-map-globe-kids-study-desk-decor-globe-geography-kids-education,Globe,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-medium product-title-word-break product-title-resize"">Globe</span></h1>
<p style=""text-align: center;"">The spherical and rotating political globe from Globa helps with learning geography through an attractive visual. It features a 100% waterproof polyethylene body and has a design that resembles the classic globe shape. It includes labels of major world locations.</p>
<p style=""text-align: center;""><span data-offset-key=""42vp8-212-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/61EFjUbT5UL._AC_SX679_.jpg"" width=""500"" height=""665""></span></p>
<p style=""text-align: center;"">Designed with projected lines suitable for both decoration and learning. It has an exclusive platform for greater stability and precision in rotation. It provides a scaled view that facilitates the understanding of the relative dimensions and distances of different parts of the product.</p>
<p style=""text-align: center;""><span data-offset-key=""42vp8-321-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/71we66Vwg9L._AC_SY879_.jpg"" width=""480"" height=""846""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""42vp8-321-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""42vp8-321-0"" data-mce-fragment=""1"">Material | 100% Waterproof Polyethylene <br>Brand | Globo <br>Features | Rotating, spherical, labeled, special platform, and scale<br>Application | Learning, decoration</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"decor, best-sellers",TRUE,Style,1,,,,,,,,14:200006151#Silver globe-18cm,0.0,shopify,0,continue,manual,309.90,389.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S7565411e205e4e28b368525e931024b7W.jpg?v=1731613333,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Sa9f241233cda43e799867170adb1a227K.jpg?v=1731613333,kg,,,TRUE,,,TRUE,,,active
big-mouth-french-bulldog-butler-storage-box-with-tray-nordic-decor-ornament-figurine-craft-animal-resin-sculputre-for-home-decor,Resin Office Desk,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-medium product-title-word-break product-title-resize"">Resin Office Desk</span></h1>
<p style=""text-align: center;"">Its unique and exclusive design features a life-sized French bulldog shape. The device is ideal for decorating any environment, adding a touch of humor and liveliness to any space. Additionally, it can be used to store and organize books.</p>
<p style=""text-align: center;""><span data-offset-key=""5kp9o-328-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/61-Big5sqVL._AC_SX679_.jpg"" width=""500"" height=""435""></span></p>
<p style=""text-align: center;"">Made of high-quality material, it is very resistant to scratches and wear over time. It is ideal for pieces of all ages, and can be used as a decorative piece and as a storage unit.</p>
<h2 style=""text-align: left;""><span data-offset-key=""5kp9o-395-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""5kp9o-395-0"" data-mce-fragment=""1"">| Material | High-quality durable material |<br>| Shape | French Bulldog shape |<br>| Style | Modern and exclusive style |<br>| Functionality | Can be used as decoration or storage |<br>| Mobility | Has two opening doors |<br>| Storage | Has a hidden storage compartment |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"decor, best-sellers",TRUE,Color,black,,,,,,,,14:200006151#Black;200007763:201336100,0.0,shopify,0,continue,manual,389.90,469.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Sf40b0e35a45d420a9b5691ac929b33c5a.jpg?v=1731613328,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S332533e9a9f04473aceb24fb57b2baedL.jpg?v=1731613328,kg,,,TRUE,,,TRUE,,,active
i-want-to-believe-the-x-files-art-silk-or-canvas-ufo-tv-series-print-canvas-painting-decorative-picture-home-decor,X-Files I Want To Believe Poster,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;"">X-Files I Want To Believe Poster</span></h1>
<p style=""text-align: center;"">The X-Files I Want To Believe Poster is part of the X-Files poster series, paying homage to the legendary scenes from the X-Files history. It is one of the most beloved pieces in the series, often seen as a symbol of the unconditional love many fans have for it.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""543o2-167-0""><img height=""500"" width=""500"" src=""https://m.media-amazon.com/images/I/61uJ7MUUzkL._AC_SX679_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""543o2-167-0"">Specifications:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""543o2-167-0"">Size: 91.4cm x 61cm<br>Material: Birch Wood<br>Backdrop: Mulder's monologue with a wormhole in the background.<br>Quote: ""I Want To Believe"".</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"decor, best-sellers",TRUE,Size,10x15cm,,Style,0270-01,,,,,200000886:200005376#10x15cm No Frame;14:366#0270-01,0.0,shopify,0,continue,manual,54.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Hd9d5dda443d24cc39f324fe82cbce266n.jpg?v=1731613324,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Hd701062a11e34440a02b198682379f77a.jpg?v=1731613324,kg,,,TRUE,,,TRUE,,,active
rgb-led-strip-light-music-sound-control-pickup-rhythm-ambient-lamp-atmosphere-night-lights-for-bar-car-room-tv-gaming-decoration,18-Color Sound Control,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-large product-title-word-break"">18-Color Sound Control</span></h1>
<p style=""text-align: center;"">The 18-Color Sound Control offers a new way of customizable sound control. This unique and durable sound control comes with 18 different colors, allowing it to match any style. The audio content emitted is adjusted with up to 5 independent volume controls, each accompanied by a multicolored LED light.</p>
<p style=""text-align: center;""><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/71INVL5bYzL._AC_SY450_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1"">Device Type: Sound control<br>Available Colors: Silver, black, white, yellow, orange, red, purple, gray, brown, green, blue, pink, lime, lavender, magenta, persian, cobalt, emerald, turquoise<br>Volume Controls: Up to 5 independent volume controls<br>Sound Control LED: Multicolored LED lights synchronized with the sound<br>App: Coloré app for audio and sound customization<br>Compatibility: iOS, Android, Windows, Mac OS X, Nintendo Switch</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"decor, best-sellers",TRUE,Style,16LED,,,,,,,,136:173#16LED Black USB,0.0,shopify,0,continue,manual,89.90,139.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Sa722b3b1fe4f4a0984445217f9ce2cf3c.jpg?v=1731613320,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S4adbc3bf7c574c9a837ee65cb9f7cc0eu.jpg?v=1731613320,kg,,,TRUE,,,TRUE,,,active
tope-kit-2-coffee-coffee-tea-chopp-heat-cup-473ml-c-lid-home-utility-sorts-color-quick-ship,Thermal Cup,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ffff00;"">Thermal Cup</span></h1>
<p style=""text-align: center;"">The 500 ml Thermal Cup is an excellent option to keep your beverages hot for longer. It is made of stainless steel that is resistant to corrosion and does not affect the taste of your drink. It has thermal insulation that keeps your beverages hot for up to 8 hours and cold for up to 8 hours. With a screw-on lid with a safety lock and a sealing ring, you can safely take your drink wherever you want.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0708/2583/6820/products/A9f76eb20b792424d82095cea23c1c094A_500x.jpg?v=1676511591""></p>
<p style=""text-align: center;"">Its modern, elegant, and slim design makes your thermal cup the best option for use or as a gift. Moreover, the thermal cup is easy to wash, BPA-free, and completely environmentally safe. For these and many other qualities, you will have a great experience using your 500 ml Thermal Cup.</p>
<p style=""text-align: center;""><br></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Material: Stainless Steel<br>Capacity: 500 ml<br>Weight: 280g<br>Insulation: keeps liquids hot for up to 8 hours and cold for up to 8 hours<br>Screw-on lid: With safety lock and sealing ring<br>BPA-free: Yes<br>Design: modern, slim, and elegant<br>Reusable: Yes<br>Environmentally safe: Yes</p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"your-home, best-sellers",TRUE,Title,Default Title,,,,,,,,<none>,0.0,shopify,0,continue,manual,159.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/A9f76eb20b792424d82095cea23c1c094A.jpg?v=1731613316,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/A43460f8e316746488f3b9658f9167b65S.jpg?v=1731613316,kg,,,TRUE,,,TRUE,,,active
1-5-6pcs-paper-cut-knife-pen-refill-set-art-utility-knife-scrapbook-cutting-tool-precision-sticker-washi-tape-cutter-diy-craft,Portable Engraving Pen,"<h1 class=""ui-pdp-title"" style=""text-align: center;""><span style=""color: #ffff00;"">Portable Engraving Pen</span></h1>
<p style=""text-align: center;"">This portable engraving pen is ideal for engraving and cutting lighter materials such as wood, plastic, fabric, leather, and more. It has two functions: a motorized pen and a cutter. With the motor at the tip, it is capable of extracting both superficial and deep layers.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""aklv4-362-0""><img src=""https://http2.mlstatic.com/D_NQ_NP_934971-CBT53697316830_022023-O.webp""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""aklv4-362-0""><br>Specifications:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""aklv4-362-0"">-Materials: Wood, Plastic, Leather, Fabric<br>-Motor Type: Tip motor<br>-Power Cable: Yes<br>-Speed Control: Yes<br>-Ergonomic Design: Yes<br>-Cutting Function: Yes<br>-Weight: Light</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"best-sellers, utilities",TRUE,Style,5Pcs-A,,,,,,,,14:200006151#5Pcs-A,0.0,shopify,0,continue,manual,74.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S402221a8c6f34503850b6b224677b153v.jpg?v=1731613312,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S2f15fa57770c4e648ceaf71488d607c70.jpg?v=1731613312,kg,,,TRUE,,,TRUE,,,active
utili-key-multi-tool-multipurpose-screwdriver-pocket-multiuse-multitool-edc-gear-utility-outdoor-gadget-multifunction,6-in-1 Mini Multi-Purpose Tool,"<h1 class=""ui-pdp-title"" style=""text-align: center;""><span style=""color: #ffff00;"">6-in-1 Mini Multi-Purpose Tool</span></h1>
<p style=""text-align: center;"">This 6-in-1 Mini Multi-Purpose Tool features a high-quality and durable stainless steel finish, making it of superior quality. It has 6 functions: Flathead Screwdriver, Philips Head, Precision Bits, Cable Stripper, Cable Cutter, and Laser. It is compact, portable, and perfect for use at any time.</p>
<p style=""text-align: center;""><img src=""https://http2.mlstatic.com/D_NQ_NP_938794-MLB41462574252_042020-O.webp""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Stainless Steel Finish<br>Functions: Flathead Screwdriver, Philips Head, Precision Bits, Cable Stripper, Cable Cutter, and Laser<br>Weight: 120 g<br>Dimensions: 20.3 cm x 3.2 cm x 1.3 cm</p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"best-sellers, utilities",TRUE,Color,black,,,,,,,,17:13,0.0,shopify,0,continue,manual,44.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Hdded040ee09b41969346dbb1d9bb04a3m.jpg?v=1731613308,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/Hd6d49d252855452d951fec0e3cbb4b53i.jpg?v=1731613308,kg,,,TRUE,,,TRUE,,,active
deli-utility-knife-portable-pocket-box-cutter-retractable-paper-нож-18mm-9mm-metal-blade-for-office-school-stationery-supplies,Metal Blade,"<h1 style=""text-align: center;""><span style=""color: #ffff00;"">Metal Blade</span></h1>
<p style=""text-align: center;"">A metal blade is a very thin piece of metal with sharp edges, found in knives, razors, or other cutting tools. It is made from steel, iron, bronze, copper, or other metals that can be easily shaped and tempered. The metal is forged to create a metal bar.</p>
<p style=""text-align: center;""><span data-offset-key=""1bjk2-135-0"" data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/dd6d0b18-1949-4830-bf35-4c1759103318_480x480.jpg?v=1681303339""></span></p>
<p style=""text-align: center;"">The metal blade is usually attached to the top of a handle but can also be used with a bow or another device that allows for more precise use. It is used for cutting, scraping, carving, or making small holes in the material, either entirely or partially.</p>
<h2 style=""text-align: left;""><span data-offset-key=""1bjk2-233-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""1bjk2-233-0"" data-mce-fragment=""1"">Metal Type: Iron/Steel<br>Size: Varies according to the design.<br>Heat Treatment: Typically heated and then quickly cooled.<br>Blade Thickness: Varies as needed.<br>Sharp Edges: Yes.</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,house,"best-sellers, utilities",TRUE,Style,1pc 2037S,,,,,,,,14:366#1pc 2037S,0.0,shopify,0,continue,manual,69.90,129.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S527ea38eec8b4177b9338481554069df8.jpg?v=1731613304,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0903/6664/0425/files/S0ba9edb51fa34e49a4317fed85684993p.jpg?v=1731613304,kg,,,TRUE,,,TRUE,,,active
