Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
anti-barking-dog-muzzle-for-small-large-dogs-adjustable-mesh-breathable-pet-mouth-muzzles-for-dogs-nylon-straps-dog-accessories,Muzzle for Pets,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Muzzle for Pets</span></h1>
<p>Many dogs have behavior problems and difficulties socializing with other animals due to the lack of protection for their muzzle. This situation can lead to bigger problems, such as fear or even injuries. The Muzzle for Pets was created to offer a definitive solution to this problem. The Muzzle for Pets is made with super soft and comfortable fabric that provides total protection for the dogs' muzzle, in addition to being used as a safe form of socialization between pets.</p>
<h1><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0540/6018/7841/files/Pagina_3_-_focinheira_para_cachorros_JPEG_480x480.jpg?v=1643461990""></h1>
<p>The unique design allows it to be easily put on and taken off, being weather-resistant and machine washable when necessary. The Muzzle for Pets offers total protection for the dogs' muzzle while promoting their healthy interaction with other animals without impairing their natural hunting abilities. Additionally, it has an ergonomic finish specially developed to ensure pets' comfort throughout the use of the muzzle. With this new option, you will have peace of mind regarding your pet's health!</p>
<h1><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0540/6018/7841/files/Pagina_2_-_focinheira_para_cachorros_JPEG_480x480.jpg?v=1643461945""></h1>
<div><br></div>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,Size,S,,,,,14:193;5:100014064,0.0,shopify,1000,continue,manual,72.90,99.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S4a45a61c8cd8410baf0395384818e4afm.webp?v=1732010212,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/Sc8bad387a3f840dba78619b683024064Y.jpg?v=1732010212,kg,,,TRUE,,,TRUE,,,active
kimpets-dog-harness-clothes-vest-chest-cat-collars-rope-small-dogs-reflective-breathable-adjustable-outdoor-walking-pet-supplies,Harness Collar for Pets,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Harness Collar for Pets</span></h1>
<p>Are you tired of looking for a safe and comfortable collar for your pet? Your problems are over. The Harness Collar for Pets has everything you need to ensure your animal friend's safety without compromising their comfort in the process. This collar is designed with a dynamic fit, allowing it to be securely fastened around the dog's chest and abdomen, without any uncomfortable straps. Therefore, it is highly resistant, providing cushioning during outdoor activities. Thanks to its advanced force distribution technology, it is extremely easy to use and offers fully adjustable length. </p>
<p><img height=""609"" width=""477"" src=""https://ae01.alicdn.com/kf/Sc5082f6d8b054ca89f470c4791fceaa5k.jpg"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p>Additionally, it has dual protection: something rare in conventional collars. The Harness Collar for Pets completely changes the traditional standards when it comes to quality and functionality for taking your pet on daily walks! It will guarantee very high levels of comfort while maintaining absolute control over the dog in a controlled outdoor environment. Try these amazing benefits today!</p>
<p> </p>
<p><img height=""632"" width=""427"" src=""https://ae01.alicdn.com/kf/S6ee449b8e2964d419020e1c613c0f3e57.jpg"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p> </p>
<p><br></p>
<p> </p>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,Size,XXS 0.5-1.5kg,,,,,14:29#Mint Green;5:100014066#XXS 0.5-1.5kg,0.0,shopify,1000,continue,manual,95.00,130.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S114e9f3d03054812a865b30d05e64bd6Y.webp?v=1732010208,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S2db92948b0944dadb362df46071c61a9o.webp?v=1732010208,kg,,,TRUE,,,TRUE,,,active
no-pull-pet-dog-harness-and-leash-set-adjustable-puppy-cat-harness-vest-reflective-walking-lead-leash-for-small-dogs-chihuahua,Harness for Pets,"<h1 data-mce-fragment=""1""><span data-mce-fragment=""1"">Harness for Pets</span></h1>
<p data-mce-fragment=""1"" data-pm-slice=""1 1 []"">Are you concerned about your pet's safety and comfort? Looking for a product that offers all this simply? Look no further, because we have exactly what you need! The Harness for Pets is ideal to ensure owners' peace of mind and provide greater safety and comfort for animals. Made with soft and breathable material, this harness can be used comfortably in hot weather. Additionally, it is flexible, allowing comfortable mobility for pets. This product is made with abrasion-resistant material, allowing for greater durability.</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><img data-mce-fragment=""1"" height=""545"" width=""409"" src=""https://img.ltwebstatic.com/images3_pi/2021/12/16/1639636418086e504bf366236f3cbdc1259fb5fe17.webp"" alt=""Dog pattern harness and leash set 2 pieces"" data-mce-src=""https://img.ltwebstatic.com/images3_pi/2021/12/16/1639636418086e504bf366236f3cbdc1259fb5fe17.webp""></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> Washing is easy thanks to its waterproof feature. With these benefits together in one product, you can be sure that your pet will be protected and well-cared for while they play freely indoors or on the street. Offering total freedom without sacrificing practicality has never been so simple! By purchasing the Harness for Pets, you directly contribute to ensuring the health and well-being of the little animal you love so much.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><img data-mce-fragment=""1"" height=""626"" width=""470"" src=""https://img.ltwebstatic.com/images3_pi/2021/08/10/1628561369c058e4afc4a6ccb39e229281b0cf9cf7.webp"" alt=""Dog pattern harness and leash set 2 pieces"" data-mce-src=""https://img.ltwebstatic.com/images3_pi/2021/08/10/1628561369c058e4afc4a6ccb39e229281b0cf9cf7.webp""></span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><br></p>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,Size,S 2-3 kg,,,,,14:175#Green;5:100014064#S 2-3 kg,0.0,shopify,1000,continue,manual,48.50,78.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S8528ceecc00f4aa88d16a609cefc2cb8w.webp?v=1732010205,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/Sf44fce7945f74a00b215d6899de56ef96.webp?v=1732010205,kg,,,TRUE,,,TRUE,,,active
cat-brush-pet-comb-self-cleaning-slicker-brush-remove-hair-grooming-brush-pet-dematting-comb-beauty-slicker-dog-comb-cepillo,Hair Remover,"<h1><br></h1>
<h1 style=""text-align: center;""><span style=""color: #ff2a00;""> Hair Remover</span></h1>
<p>Have you ever experienced embarrassing situations with your pet due to excess hair? If so, then you need to know the HAIR REMOVER. With it, all problems related to removing your pet's hair are gone! The HAIR REMOVER is a unique and innovative product for caring for your pet. It is made of material resistant to high temperatures and has an extra-fine blade that removes hair easily and without hurting your pet's skin. </p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" height=""562"" width=""562"" src=""https://s3.amazonaws.com/appforest_uf/f1662682100518x842632451076501800/richtext_content.jpeg""></p>
<p> </p>
<p>Additionally, it has an ergonomic handle specially designed to ensure greater comfort during use. Think that now your faithful pet companion will be by your side, and you will no longer fear someone mistreating your pet while removing excess hair. The HAIR REMOVER offers a quick, clean, and painless solution to eliminate unwanted hair, making it an ideal alternative to keep your home free from hair mess on the floor. We highly recommend this product!</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0657/0508/3111/products/S387894bae0b0401482d3fe273c68e112Q_480x480.jpg?v=1662506923""></p>
<p> </p>
<p><br></p>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,,,,,,,14:29#Grey,0.0,shopify,1000,continue,manual,96.80,130.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S4ff73630f26443de8fbda338c58e535eo.webp?v=1732010201,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/Sd277352af673424eb747f20f9843ef1e3.webp?v=1732010201,kg,,,TRUE,,,TRUE,,,active
dogs-snuffle-mat-pet-leak-food-anti-choking-mat-cat-dog-training-blanket-nose-work-toy-pet-slowing-feeding-intelligence-mat,Interactive Mat for Pets,"<h1 style=""text-align: center;"" data-pm-slice=""1 1 []""><span style=""color: #ff2a00;"">Interactive Mat for Pets</span></h1>
<p data-pm-slice=""1 1 []"">Have you ever wondered how to keep your pet mentally and physically stimulated while they still get healthy food? Well, now you don't have to worry anymore. The interactive mat for pets is the ideal solution for owners who want to entertain and nourish their animals in a healthy way. This product offers an innovative design that allows pet owners to serve meals based on kibble and snacks in various different positions. Your pet will have to search for these treats throughout the entire mat, thus allowing for a challenging play activity and keeping them entertained for a long time. </p>
<p><img src=""https://ae01.alicdn.com/kf/Hf23f6b26307745f29c9304ffc32f8207T.jpg"" width=""311"" height=""311"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p>Additionally, the mat also encourages slow consumption of food, thus avoiding digestive problems in domestic animals. The interactive mat for pets is ideal for those owners who are looking for a fun way to nourish their little animals. It provides mental and physical stimulation during the animal's meals, guaranteeing fun during feeding time! With this product, you can be sure that the time spent with your little ones will be well-invested - as they will live happy moments hunting for their favorite snack!</p>
<p><img src=""https://ae01.alicdn.com/kf/Hffdd488d7cf944c2bb6e059fd194792be.jpg"" width=""432"" height=""432"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p> </p>
<p><br></p>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,,,,,,,14:193#fen 45X45CM,0.0,shopify,1000,continue,manual,170.00,210.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/Hf23f6b26307745f29c9304ffc32f8207T.webp?v=1732010198,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/H27f37bc7e37048cf9b3dce34967fde01h.webp?v=1732010198,kg,,,TRUE,,,TRUE,,,active
dog-pee-pad-blanket-reusable-absorbent-diaper-washable-puppy-training-pad-pet-bed-urine-mat-for-pet-car-seat-cover,Animal Urine Absorbent Mat,"<h1 data-mce-fragment=""1"" class=""product-meta__title heading h1""><span data-mce-fragment=""1"" style=""color: #ff2a00;"">Animal Urine Absorbent Mat</span></h1>
<p data-mce-fragment=""1"">Many pet owners know how difficult it can be to clean up animal urine when an accident happens. Whether it's at home, in the car, or other places: finding and removing all the urine can be a complicated and unpleasant task. We have here the animal urine absorbent mat, designed to solve this problem! </p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><img data-mce-fragment=""1"" src=""https://cdn.shopify.com/s/files/1/0629/7737/6494/products/custom_resized_52f033af-f256-4457-811e-1d015d1c03cf_1024x1024@2x.png?v=1664133717"" data-mce-src=""https://cdn.shopify.com/s/files/1/0629/7737/6494/products/custom_resized_52f033af-f256-4457-811e-1d015d1c03cf_1024x1024@2x.png?v=1664133717""></span></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Our mat not only absorbs urine (in case of an accident), but also any excess water or food spilled by the animal. Additionally, it is thin and flexible, allowing it to be placed in different locations around your home - floor, sofa, bed, or even for use in the car - without ruining the decor of the environment. Forget spending hours cleaning up after animal accidents! With this absorbent mat, you save</span></p>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,Size,XS 50x35cm,,,,,14:691;5:100014066#XS 50x35cm,0.0,shopify,1000,continue,manual,128.60,160.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S836e536e150d40238f7052cdcecf2a3ah.webp?v=1732010194,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/H3537426269a94b919f571d0ebcc8adf8B.webp?v=1732010194,kg,,,TRUE,,,TRUE,,,active
kommilife-portable-cat-dog-water-bottle-food-feeder-drinker-poop-dispenser-3-in-1-leak-proof-multifunctional-dog-waterer-bottle,Portable Water Bottle for Dogs and Cats,"<h1><span style=""color: #ff2a00;"">Portable Water Bottle for Dogs and Cats</span></h1>
<p>Keeping your furry friend hydrated is a constant concern. If you're traveling with your pet, carrying water and a place for them to drink can be challenging. With the portable water bottle for dogs and cats, those problems are over! This bottle has everything you need to provide your pet with what they need: easy and quick hydration.</p>
<p><img height=""489"" width=""491"" src=""https://a-static.mlcdn.com.br/800x560/garrafa-de-agua-portatil-para-caes-e-gatos-com-cata-caca-verde-mabuu-pet/mabuupet/30965/496b671f407add5d94f11fe05c8b3b0b.jpg""></p>
<p>This bottle comes equipped with innovative features designed specifically to make the pet owner's life simpler and more enjoyable. It includes a built-in waste bag holder, so you no longer need to carry extra bags for cleaning; additionally, it contains a retractable scoop for picking up your pet's feces without additional complications.</p>
<p><img height=""442"" width=""440"" src=""https://a-static.mlcdn.com.br/800x560/garrafa-de-agua-portatil-para-caes-e-gatos-com-cata-caca-verde-mabuu-pet/mabuupet/30965/72142981707dd3614f39ace24b177582.jpg""></p>
<p>It acts as a water carrier and bowl in one easy container - developed with pet practicality in mind – offering total comfort when hydrating domestic animals!</p>
<p> </p>
<p><br></p>",DSERS,,Pets,"accessories, best-seller",TRUE,Color,1,,Size,300ml,,,,,14:175#green;5:100014066#300ml;200007763:201336100,0.0,shopify,1000,continue,manual,120.00,150.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/H50cbc52382ce44259225ff3ce003e505a.webp?v=1732010190,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/H763f527795ab43c389a5d8cb97ff6a3fr.webp?v=1732010190,kg,,,TRUE,,,TRUE,,,active
plush-dog-toy-animals-shape-bite-resistant-squeaky-toys-corduroy-dog-toys-for-small-large-dogs-puppy-pets-training-accessories,Plush Toy for Pet,"<h1><br></h1>
<h1 style=""text-align: center;"" data-pm-slice=""1 1 []""><span style=""color: #ff2a00;"">Plush Toy for Pet</span></h1>
<p data-pm-slice=""1 1 []"">Are you tired of having to buy new toys for your puppy every time he chews on the old ones? The materials used in the toys are often fragile and do not withstand day-to-day wear. Your problems are over with the Plush Toy! It is made of high-quality, non-toxic velvet material, it is bite-resistant, soft, durable, and provides fun for your puppy. Our plush toys are adorable animals that develop a special bond with your animal friend. </p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0603/8333/0457/files/2-main-corduroy-cao-brinquedos-para-pequenos-caes-grandes-forma-animal-de-estimacao-pelucia-filhote-de-cachorro-squeaky-mastigar-mordida-resistente-brinquedo-para-animais-de-estimacao_480x480.png?v=1642784305""></p>
<p>These irresistible animals satisfy the instinctive needs of dogs to collect objects - but without the risks associated with ingesting small objects by your animal friend. The Plush Toy offers healthy and fun entertainment for you and your pet. In addition, this product provides a durable material that can withstand your pet's daily dental exploration. The end result: endless hours of guaranteed fun without worries about the toy's integrity!</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0597/8977/0845/files/detalhebicho30_480x480.jpg?v=1671344785""></p>
<p> </p>
<p> </p>
<p style=""text-align: center;""><br></p>",DSERS,,Pets,"toys, best-seller",TRUE,Color,1,,,,,,,,14:193#Mouse,0.0,shopify,1000,continue,manual,39.60,55.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/H89b07ebfbf094f9fbd6594e2868e26797.webp?v=1732010186,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/H7a7f080ec09a4e648e34aa73c6cc44ddt.webp?v=1732010186,kg,,,TRUE,,,TRUE,,,active
natural-catnip-cat-wall-stick-on-ball-toy-treats-healthy-natural-removes-hair-balls-to-promote-digestion-cat-grass-snack-pet,Catnip Ball - Stress Relief for Cats,"<h1><span style=""color: #ff2a00;"">Catnip Ball - Stress Relief for Cats</span></h1>
<div><br></div>
<div>
<p>Have you ever felt frustrated because you can't find the right product to satisfy your cat's desires? We understand that this is very difficult, but we have a solution for you. The Catnip Ball - Cat Herb offers the perfect option! Catnip is a 100% natural herb that cats love. This interactive ball is in the shape of a ball and can be licked or bitten by your kitten, providing all the unique benefits that only catnip can offer. It is super bite-resistant and also contains some natural additives with calming properties, ideal for relaxing moments with your pet.</p>
</div>
<div><img src=""https://cdn.shopify.com/s/files/1/0567/7000/3014/files/gof2_480x480.gif?v=1657137266""></div>
<div><span>In addition, this product is free of chemicals and other artificial ingredients that can cause problems in the body of domestic animals. Therefore, if you want to have a healthy environment for your cat while it plays happily with its Catnip Ball - Cat Herb, this is definitely the best choice! The benefits of this product are numerous: it reduces anxiety; relieves stress; keeps the cat active; controls aggressive behavior; decreases the tendency for inappropriate explorations, etc., providing precious family time with your pet.</span></div>
<div><img src=""https://ae01.alicdn.com/kf/S72229c844c2e46f9a1c82944e29cb1deK.jpg"" width=""448"" height=""448""></div>
<div><br></div>
<div><br></div>",DSERS,,Pets,"toys, best-seller",TRUE,Title,Default Title,,,,,,,,14:29#mint flavor 1,0.0,shopify,1000,continue,manual,17.50,25.50,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/Sa20f7eb0c8a7432581dfde25abe7e653Y.webp?v=1732010183,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/S49dace6e81a541029917e1f85bc38eecJ.webp?v=1732010183,kg,,,TRUE,,,TRUE,,,active
1pcs-funny-silicone-flying-saucer-dog-cat-toy-dog-game-flying-discs-resistant-chew-puppy-training-interactive-pet-supplies,Silicone Disc - Pet Toy,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Silicone Disc - Pet Toy</span></h1>
<div style=""text-align: center;"">
<p>Many pet owners are concerned about weight gain and other health issues related to their pets. Excess weight can lead to diabetes, cardiovascular problems, and even depression in some cases. Now you can have control over your pet's well-being with our new silicone disc!</p>
</div>
<div style=""text-align: center;""><img height=""452"" width=""452"" alt=""1pcs Funny Silicone Flying Saucer Dog Cat Toy Dog Game Flying Discs Resistant Chew Puppy Training Interactive Pet Supplies2"" src=""https://ae01.alicdn.com/kf/H1397bf8ba74045e0b807a94da7f76a68p.jpg""></div>
<div style=""text-align: center;""><span>This innovative toy is specially made to stimulate your animal's senses, providing a fun and educational experience that helps reduce anxiety and stress. Additionally, it has a unique design that allows the animal to interact with other animals and even people. With this toy, you will also have an easier time socializing your pet with other people present in the environment!</span></div>
<div style=""text-align: center;""><img height=""466"" width=""466"" src=""https://ae01.alicdn.com/kf/Hb205361f58f14fa8bfc962ac8bf8c295F.jpg"" alt=""1pcs Funny Silicone Flying Saucer Dog Cat Toy Dog Game Flying Discs Resistant Chew Puppy Training Interactive Pet Supplies3""></div>
<div style=""text-align: center;""><br></div>
<div><br></div>",DSERS,,Pets,"toys, best-seller",TRUE,Color,Blue,,Size,18cm,,,,,14:29#blue;5:361386#diameter 18cm,0.0,shopify,1000,continue,manual,25.85,40.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/HTB1m8ToLrvpK1RjSZFqq6AXUVXaz.webp?v=1732010180,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/3485/3450/files/HTB1qYudpDXYBeNkHFrdq6AiuVXa0.webp?v=1732010180,kg,,,TRUE,,,TRUE,,,active
