Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
2023-knitted-women-button-sweater-pullovers-spring-autumn-basic-women-highneck-sweaters-pullover-slim-female-high-quality-top,Blusa de manga comprida com botões,"<h1 class=""product-meta__title título h1"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Blusa de manga comprida com botões</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">A Blusa Manga Longa com Botões é uma peça elegante e moderna que se destaca pelas linhas marcadas e acabamento refinado. O estilo clássico faz desta blusa uma excelente opção para criar looks simples e modernos. Seu design apresenta botões frontais, gola e mangas longas.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-offset-key=""b14jp-123-0""><img src=""https://cdn.shopify.com/s/files/1/0601/5998/3661/products/S09717366b1654f669cd6fd44883f18c0r_600x.jpg?v=1674116657"" data-mce-src=""https://cdn.shopify.com/s/files/1/0601/5998/3661/products/S09717366b1654f669cd6fd44883f18c0r_600x.jpg?v=1674116657"" altura=""667"" largura=""500""></span></p>
<p style=""text-align: center;"">Além disso, a composição é feita em tecido leve, proporcionando conforto na hora de vestir. A Blusa Manga Longa com Botões eleva o nível de atitude do seu look e é ideal para quem busca um look charmoso e sofisticado.</p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-offset-key=""b14jp-195-0"">Especificações:</span></h2>
<p><span data-offset-key=""b14jp-195-0"">Tamanhos: único<br>Composição: Algodão<br>Estilo: Casual<br>Lavagem: Lavar à mão</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,feminino,TRUE,Cor,1,,Tamanho,tamanho único,,,,,14:175;5:200003528,0.0,shopify,1000,continue,manual,115.00,145.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sda1d2c74e19b40938c7db9b62d07c4f5f.jpg?v=1733010007,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sda1d2c74e19b40938c7db9b62d07c4f5f.jpg?v=1733010007,kg,,,TRUE,,,TRUE,,,active
halter-crochet-bodycon-dress-cut-out-sexy-split-dresses-off-shoulder-backless-party-vestido-korean-women-chic-fashion-robe-y2k,VESTIDO ANGELINA,"<h1 class=""product_name"" style=""text-align: center;"" itemprop=""name""><span style=""color: #ff8000;"">VESTIDO ANGELINA</span></h1>
<p style=""text-align: center;"">O Halter Crochet Bodycon Dress Cut Out Sexy Split Dresses é um vestido moderno e sensual que combina o design recortado de um vestido de festa com o estilo boêmio. Feito em tecido macio de crochê, este vestido apresenta corte justo, decote frente única e costas abertas. Detalhes de recorte assimétrico adicionam um toque único ao visual.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0572/4101/0229/products/S58762b016a244880b43fb61648302232L_2000x.jpg?v=1673815367"" p=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>• Material: Crochê<br>• Estilo: Bodycon<br>• Estilo de costura: Recorte<br>• Tipo de pescoço: Halter<br>• Detalhes: Recortes assimétricos, costas abertas<br>• Tratamento do tecido: Macio&lt; /p&gt;</p>",DSERS,Sem categoria,moda,feminino,TRUE,Cor,1,,Tamanho,Tamanho único,,,,,14:771#Brown;5:200003528,0.0,shopify,1000,continue,manual,177.00,207.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S7fe0d4b0093b48e489d38094bbf93d917.jpg?v=1733010005,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S58762b016a244880b43fb61648302232L.jpg?v=1733010005,kg,,,TRUE,,,TRUE,,,active
chiffon-dress-women-long-polka-dot-print-dresses-side-wrap-female-v-neck-puff-sleeve-boho-fashion-a-line-split-dress-summer,Vestido Midi com Fenda,"<h1 style=""text-align: center;"" class=""product_title entry-title""><span style=""color: #ff8000;"">Vestido Midi com Fenda</span></h1>
<p style=""text-align: center;"">O item em questão é um vestido midi com abertura que dá um toque extra de charme ao seu look. O vestido é confeccionado em tecido de toque leve e tem um tom rosa romântico. Este vestido é a proteção perfeita para os dias mais agitados e oferece todo o conforto que você precisa.</p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S2a87ef98fd31461585af86bc6488a7c64.jpg?v=1733010001"" width=""548"" height=""731""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Tamanho: Tamanho único<br>Composição: 100% Algodão</p>",Dsers,Sem categoria,moda,feminino,TRUE,Cor,1,,Tamanho,S,,,,,14:193#Black;5:100014064,0.0,shopify,1000,continue,manual,225.00,260.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S2a87ef98fd31461585af86bc6488a7c64.jpg?v=1733010001,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S77dffd730f6749a49f9835eb7ca0060eV.jpg?v=1733010001,kg,,,TRUE,,,TRUE,,,active
elegant-summer-gauze-long-sleeve-solid-color-button-v-neck-blouses-straight-loose-chiffon-thin-comfortable-women-39-s-clothing-2022,Camisa de moda individual,"<h1 class=""product-title"" style=""text-align: center;""><span style=""color: #ff8000;"">Camisa de moda individual</span></h1>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""17k4r-40-0"">Esta</span> camisa é feita de algodão macio com um toque sedoso, proporcionando conforto durante todo o dia. Apresenta cor branca clássica, mangas curtas, decote arredondado com botões integrados e etiqueta da marca nas costas perto dos quadris. As costuras seguem um corte moderno, permitindo combinar com vários estilos. É ideal para qualquer peça do seu guarda-roupa e pode ser usado com jeans, saias e shorts.</p>
<p style=""text-align: center;""><img height=""492"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0513/8307/5004/products/Jastie-camisola-de-malha-feminina-bo-mio-2022-manga-longa-padr-o-bordado-bolsos-casacos-casuais_jpg_1024x1024_0ccfc228-547a-475d-87a4-2725123899f0_1024x1024.jpg?v=1661775912""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Material: 100% algodão macio<br>Corte: moderno<br>Decote: arredondado com botões integrados<br>Manga: curta<br>Etiqueta da marca: nas costas perto dos quadris</p>
<p style=""text-align: center;""><br></p>",Dsers,Sem categoria,moda,feminino,TRUE,Cor,1,,Tamanho,M,,,,,14:200001438;5:361386,0.0,shopify,1000,continue,manual,150.00,180.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Secc0b155aca64c4a896107203e5d6db17.jpg?v=1733009998,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Se016a3c46b244398ab85ec880fdc523aJ.jpg?v=1733009998,kg,,,TRUE,,,TRUE,,,active
wide-pants-cowboy-pants-for-women-clothing-jeans-y2k-women-39-s-clothing-2022-high-waisted-jeans-woman-90s-clothes-harajuku-fashion,Jeans Infinity Comfort,"<h1 style=""text-align: center;"" class=""product-meta__title header h1""><span style=""color: #ff8000;"">Jeans Infinity Comfort</span></h1>
<p style=""text-align: center;"">O Jeans Infinity Comfort é uma peça clássica modernizada de forma inovadora, feita para ser extremamente confortável e estilosa. Esta peça de roupa é macia e durável o suficiente para durar anos. É feito de material de alta qualidade e está disponível em vários estilos e tamanhos.</p>
<p style=""text-align: center;""><span data-offset-key=""4l08u-237-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0709/1978/2676/products/S6f98995b57ca4c928b0b6ff60281aa516_600x_a4186a73-8995-4631-9a43-4a88c583f0eb_600x.jpg?v=1676221180"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">Oferece ajuste para todos os tipos de silhuetas, além de bolsos laterais funcionais e convencionais. O Jeans Infinity Comfort é a melhor escolha para dar um toque especial aos looks casuais e garantir acessórios práticos, alta durabilidade e estilo com atitude.</p>
<h2 style=""text-align: left;""><span data-offset-key=""4l08u-329-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""4l08u-329-0"" data-mce-fragment=""1"">• Ajuste: Avançado<br>• Cor: Azul Campanha<br>• Material: Algodão e elastano&lt; br&gt;• Bolsos laterais: Sim</span></p>",Dsers,Sem categoria,moda,feminino,TRUE,Cor,1,,Tamanho,S,,,,,14:193#Black;5:100014064,0.0,shopify,1000,continue,manual,270.00,315.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S754ed6c1eff54651b6e07e796a1dee58w.jpg?v=1733009995,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S735e0481bc404cfd84980f483f9681a7c.jpg?v=1733009995,kg,,,TRUE,,,TRUE,,,active
elegant-button-lapel-shirts-women-casual-long-sleeve-printed-cotton-linen-blouse-2023-spring-office-lady-oversized-cardigan-tops,Camisas e blusas femininas de linho,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none a-color-secondary""><span style=""color: #ff8000;"" id=""productTitle"" class=""a-size-large product-title-word-break"">Camisas e blusas femininas de linho</span></h1>
<p style=""text-align: center;"">Esta é uma camisa de linho feminina. Possui mangas longas e decote em V, além de pregas mais estreitas para um caimento perfeito. A camisa é confeccionada em linho macio e resistente, proporcionando conforto e durabilidade aos usuários. A camisa é fácil de lavar na máquina, mantendo a forma e a cor originais. É ideal para usar em diversas ocasiões, desde reuniões de trabalho até piqueniques de fim de semana.</p>
<p style=""text-align: center;""><img src=""https://m.media-amazon.com/images/I/718VBQ2E0mL._AC_SX385_.jpg""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>- Tecido: 100% Linho<br>- Estilo: Mangas compridas<br>- Lavagem: Lavar à máquina</p>",Dsers,Sem categoria,moda,feminino,TRUE,Cor,1,,Tamanho,S,,,,,14:29;5:100014064,0.0,shopify,1000,continue,manual,100.00,125.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S053a7d31da5941ccb6c166c70d135a55b.jpg?v=1733009992,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sad3ae65eefdf4881b6560b73a80d0bfba.jpg?v=1733009992,kg,,,TRUE,,,TRUE,,,active
pulseira-charm-joia,Pulseira Charm Jóia,"<h3 style=""text-align: center;"">Pulseira Charm Jóia</h3>
<p style=""text-align: center;"">Nossa pulseira é feita de aço inoxidável. cerca de 3mm de espessura.</p>
<div style=""text-align: center;""><strong><img alt=""Pulseira Charm Jóia - luvijoias"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Alta-qualidade-pulseira-de-corrente-de-a-o-inoxid-vel-para-homens-nova-moda-simples-pulseiras.jpg_640x640_46da5a9e-ed55-4ff3-ba3a-e4dbac8e262f.jpg?v=1733008548"" width=""534"" height=""534""></strong></div>
<div style=""text-align: center;""><strong>Especificação:</strong></div>
<div>
<div style=""text-align: center;"">Tipo de Item:Aço inoxidável Pulseiras</div>
<div align=""start"">
<div align=""start"">
<div class=""detailmodule_html"">
<div class=""detail-desc-decorate-richtext"">
<div style=""text-align: center;"">
<div>Estilo: simples e moda</div>
<div>
<div>
<p>Gênero: mulher/homem</p>
<p>Cor: cor De Aço</p>
</div>
</div>
</div>
<div>
<div style=""text-align: center;"">Tamanho: 20cm </div>
<div style=""text-align: center;"">Material: aço Inoxidável</div>
<div style=""text-align: center;"">
<div data-mce-fragment=""1""><br></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">Esse produto tem <strong data-mce-fragment=""1"">garantia total</strong> em nossa loja. receba o produto em casa ou seu dinheiro de volta</span></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",Dsers,Sem categoria,,acessórios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,2000,continue,manual,80.30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Alta-qualidade-pulseira-de-corrente-de-a-o-inoxid-vel-para-homens-nova-moda-simples-pulseiras.jpg_640x640_46da5a9e-ed55-4ff3-ba3a-e4dbac8e262f.jpg?v=1733008548,1,Pulseira Charm Jóia - luvijoias,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
colar-casual,Colar Casual,"<h3 style=""text-align: center;"">Colar Casual</h3>
<p style=""text-align: center;"">Colar lindo e delicado, confortável e de uso fácil. Combina com os seus compromissos do dia a dia e também para um evento mais sofisticado. Produto 100% novo e de excelente qualidade. </p>
<p style=""text-align: center;""><img alt=""Colar Casual - luvijoias"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Dieyuro-316l-pingente-retangular-minimalista-de-a-o-inoxid-vel-coreano-preto-ep-xi-feminino-colar.jpg_Q90.jpg_3e2df6db-74e1-41dd-a37b-52ec8baf7471.jpg?v=1733008546"" width=""557"" height=""557""></p>
<p style=""text-align: center;"">Não machuca e nem irrita a pele, use sem preocupações. É também uma ótima ideia para presentear sua amada em uma data especial.</p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/He9a5bbc7fffd42c18d5eefd85cb259abM.webp?v=1733008758"" width=""545"" height=""545""></p>
<ul class=""product-specs-list util-clearfix"">
<li class=""product-prop line-limit-length"">
<span class=""property-title"">Tamanho do pingente: </span><span data-spm-anchor-id=""a2g0o.detail.0.i12.18531a5cWVc2Le"" title=""4.1cm"" class=""property-desc line-limit-length"">4.1cm</span>
</li>
</ul>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><br></span></div>
<div style=""text-align: center;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Esse produto tem <strong data-mce-fragment=""1"">garantia total</strong> em nossa loja. receba o produto em casa ou seu dinheiro de volta</span></div>",Dsers,Sem categoria,,joias,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,2000,continue,manual,122.20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/H4f77ea04b8de4f27b312abf0ab40a9c1h.webp?v=1733008758,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
colar-duplo-circulo,Colar Duplo Circulo,"<h3 style=""text-align: center;"">Colar Duplo Circulo</h3>
<p style=""text-align: center;"">Uma peça linda e delicada, mas com um toque luxuoso. O colar duplo circulo é uma jóia para mulheres mais discretas e que gostam de peças mais delicadas. O produto é 100% novo e de excelente qualidade, confortável e não machuca sua pele. </p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sa8a059f3685346ed8a9e7a3be9fcf0e8I.webp?v=1733009123"" width=""552"" height=""552""></p>
<p style=""text-align: center;""><br></p>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/See60d255e3b14731a91efc7d5a795e2fi.webp?v=1733009123"" width=""546"" height=""546""></span></div>
<div style=""text-align: center;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Esse produto tem <strong data-mce-fragment=""1"">garantia total</strong> em nossa loja. receba o produto em casa ou seu dinheiro de volta</span></div>",Dsers,Sem categoria,,joias,TRUE,Cor,Prata,,,,,,,,,0.0,shopify,2000,continue,manual,232.30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S999-colar-de-prata-esterlina-para-as-mulheres-duplo-c-rculo-925-pingente-de-prata-colar.jpg_640x640_d8a01c89-99e0-4e3f-b500-1f8e6f32e0ce.jpg?v=1733008544,1,Colar Duplo Circulo - luvijoias,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S999-colar-de-prata-esterlina-para-as-mulheres-duplo-c-rculo-925-pingente-de-prata-colar.jpg_640x640_f0f1c338-2a5b-4d0c-8ba0-0bebb712d125.jpg?v=1733008544,kg,,,TRUE,,,TRUE,,,active
anel-3-pedras,Anel 3 Pedras,"<h3 style=""text-align: center;"">Anel 3 Pedras</h3>
<p style=""text-align: center;""><span>anel de promessa ajustável aberto para ela: ao olhar para mostrar seu amor pela vida, nenhuma peça de jóia fala esta afirmação mais alto que o anel ajustável aberto. Este anel de qualidade premium é o toque de finesse que você tem procurado para fazer sua roupa parecer realeza. Deslumbrar tudo o que vê você com seu charme exótico e senso de moda.</span></p>
<p style=""text-align: center;""><span><img alt=""Anel 3 Pedras - luvijoias"" src=""https://cdn.shopify.com/s/files/1/0719/7409/3041/files/JewelryPalace-1-7ct-Verdadeira-Multi-London-Blue-Topaz-3-Pedras-Anel-Genu-no-925-J-ias.jpg_Q90.jpg_45ebc0c3-65df-4594-9233-a9dffa19f75c.webp?v=1732220303"" width=""539"" height=""539""></span></p>
<p style=""text-align: center;""><span>Um presente maravilhoso para qualquer ocasião: estes anéis de casamento únicos e sinceros são lindamente embalados e prontos para dar. Faz uma surpresa sentimental para qualquer mulher incrível. Este essencial atemporal é a ideia perfeita do presente para sua esposa, filha, mãe, irmã, namorada, melhor amigo, ou você mesmo. Dê a alguém jóias finas de luxo especial para balançar de dia para noite com estilo!</span></p>
<div data-spm-anchor-id=""a2g0o.detail.1000023.i2.68de36f2xde8uj""><br></div>
<div style=""text-align: center;"">
<span>Esse produto tem </span><b>garantia total</b><span> em nossa loja, </span>
</div>
<div style=""text-align: center;""><span>receba o produto em sua casa ou seu dinheiro de volta!</span></div>",Dsers,Sem categoria,,joias,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,491.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/JewelryPalace-1-7ct-Verdadeira-Multi-London-Blue-Topaz-3-Pedras-Anel-Genu-no-925-J-ias.jpg_Q90.jpg_45ebc0c3-65df-4594-9233-a9dffa19f75c.webp?v=1733008541,1,Anel 3 Pedras - luvijoias,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
