Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
sun-moon-tarot-cat-tapestry-wall-hanging-witchcraft-you-are-a-child-of-the-universe-bohemia-home-decor-hippie-bedroom-decor,Tapete de Parede,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ffff00;"">Tapete de Parede</span></h1>
<p style=""text-align: center;"">O Tapete de Parede Cat Sun Moon é uma peça decorativa que criará uma atmosfera encantadora e moderna no seu quarto. Com tons de tecido de veludo em bege e brocado, o tapete coberto com estampas divertidas e alegres de um gato, sol e lua é um favorito entre muitos...</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0685/8417/7952/products/S50256ea69cfa4d1cbc1e231b1cdd4838C_600x.jpg?v=1670555038"" width=""500"" height=""500""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Tamanho: 38"" x 26""<br>Material: Veludo e brocado<br>Cor: Azul, bege e preto<br>Peso: Aproximadamente 400 g<br>Forma: Retangular<br>Inclui: Fixações</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"decoração, mais-vendidos",TRUE,Tamanho,95X73cm,,Cor,1,,,,,5:201446767#95X73cm;14:202530806#1,0.0,shopify,0,continue,manual,54.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Scd08d0a0ba924c2bbb2c28b726c737f0m.jpg?v=1731967515,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Scd08d0a0ba924c2bbb2c28b726c737f0m.jpg?v=1731967515,kg,,,TRUE,,,TRUE,,,active
cartoon-fish-tank-decor-figures-ornaments-simulation-resin-pineapple-house-fish-tank-decoration-landscaping-aquarium-accessories,Decoração de Aquário do Bob Esponja,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ffff00;"">Decoração de Aquário do Bob Esponja</span></h1>
<p style=""text-align: center;"">A decoração de aquário com a figura do Bob Esponja é feita de resina de alta qualidade e uma estrutura durável. É resistente a altas temperaturas e é excelente como paisagem de aquário. Tem uma bela e única forma de ananás, adicionando um toque especial ao seu aquário.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""dep88-174-0""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0683/1721/7051/products/S258ee404506f4b8f9fed018bede7a0a12_1_600x.jpg?v=1677036184""></span></p>
<p style=""text-align: center;"">Esta decoração tem um conteúdo de luz do céu noturno, fazendo com que o seu aquário pareça iluminado enquanto adiciona uma atmosfera romântica. É espessa, durável e sem necessidade de manutenção, tornando-a uma excelente decoração para o seu aquário.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""dep88-263-0""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0683/1721/7051/products/HTB11F_EQwHqK1RjSZFPq6AwapXaI_600x.jpg?v=1677036184""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""dep88-263-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""dep88-263-0"">| Material | Resina |<br>| Tamanho | 6.8 x 4.7 x 6.3 cm |<br>| Peso | 78g |<br>| Estilo | Ananás |<br>| Luz Noturna | Sim |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"decoração, mais-vendidos",TRUE,Estilo,A,,,,,,,,14:29#A,0.0,shopify,0,continue,manual,54.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S258ee404506f4b8f9fed018bede7a0a12.jpg?v=1731967512,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S16dae072915a44289766f9fe6c2f16db7.png?v=1731967512,kg,,,TRUE,,,TRUE,,,active
home-decor-accessories-retro-world-globe-modern-learning-world-map-globe-kids-study-desk-decor-globe-geography-kids-education,Globo Terráqueo,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;"">Globo Terráqueo</span></h1>
<p style=""text-align: center;"">O globo terráqueo político esférico e giratório da Globa ajuda no aprendizado de geografia através de um visual atraente. Conta com um corpo de polietileno 100% impermeável e tem um design que se assemelha à forma clássica do globo terráqueo. Inclui etiquetas das principais localizações mundiais.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""42vp8-212-0""><img height=""665"" width=""500"" src=""https://m.media-amazon.com/images/I/61EFjUbT5UL._AC_SX679_.jpg""></span></p>
<p style=""text-align: center;"">Projetado com linhas projetadas adequadas tanto para decoração quanto para aprendizado. Tem uma plataforma exclusiva para maior estabilidade e precisão na rotação. Proporciona uma visão em escala que facilita a compreensão das dimensões e distâncias relativas de diferentes partes do produto.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""42vp8-321-0""><img height=""846"" width=""480"" src=""https://m.media-amazon.com/images/I/71we66Vwg9L._AC_SY879_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""42vp8-321-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""42vp8-321-0"">Material | Polietileno 100% Impermeável <br>Marca | Globo <br>Características | Giratório, esférico, etiquetado, plataforma especial e escala<br>Aplicação | Aprendizado, decoração</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"decoração, mais-vendidos",TRUE,Estilo,1,,,,,,,,14:200006151#Silver globe-18cm,0.0,shopify,0,continue,manual,309.90,389.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S7565411e205e4e28b368525e931024b7W.jpg?v=1731967507,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Sa9f241233cda43e799867170adb1a227K.jpg?v=1731967507,kg,,,TRUE,,,TRUE,,,active
big-mouth-french-bulldog-butler-storage-box-with-tray-nordic-decor-ornament-figurine-craft-animal-resin-sculputre-for-home-decor,Escrivaninha de Resina para Escritório,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;"">Escrivaninha de Resina para Escritório</span></h1>
<p style=""text-align: center;"">Seu design único e exclusivo apresenta uma forma em tamanho real de buldogue francês. O dispositivo é ideal para decorar qualquer ambiente, adicionando um toque de humor e vivacidade a qualquer espaço. Além disso, pode ser usado para armazenar e organizar livros.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""5kp9o-328-0""><img height=""435"" width=""500"" src=""https://m.media-amazon.com/images/I/61-Big5sqVL._AC_SX679_.jpg""></span></p>
<p style=""text-align: center;"">Feito de material de alta qualidade, é muito resistente a arranhões e ao desgaste ao longo do tempo. É ideal para peças de todas as idades e pode ser usado como uma peça decorativa e como uma unidade de armazenamento.</p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""5kp9o-395-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""5kp9o-395-0"">| Material | Material durável de alta qualidade |<br>| Forma | Forma de buldogue francês |<br>| Estilo | Estilo moderno e exclusivo |<br>| Funcionalidade | Pode ser usado como decoração ou armazenamento |<br>| Mobilidade | Possui duas portas de abertura |<br>| Armazenamento | Possui um compartimento de armazenamento oculto |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"decoração, mais-vendidos",TRUE,Cor,preto,,,,,,,,14:200006151#Black;200007763:201336100,0.0,shopify,0,continue,manual,389.90,469.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Sf40b0e35a45d420a9b5691ac929b33c5a.jpg?v=1731967502,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S332533e9a9f04473aceb24fb57b2baedL.jpg?v=1731967502,kg,,,TRUE,,,TRUE,,,active
i-want-to-believe-the-x-files-art-silk-or-canvas-ufo-tv-series-print-canvas-painting-decorative-picture-home-decor,"Póster Arquivo X ""Quero Acreditar""","<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-medium product-title-word-break product-title-resize"">Póster Arquivo X ""Quero Acreditar""</span></h1>
<p style=""text-align: center;"">O póster dos Ficheiros Secretos ""Quero Acreditar"" faz parte da série de pósters dos Ficheiros Secretos, homenageando as cenas lendárias da história da série. É uma das peças mais queridas da série, frequentemente visto como um símbolo do amor incondicional que muitos fãs têm por ela.</p>
<p style=""text-align: center;""><span data-offset-key=""543o2-167-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/61uJ7MUUzkL._AC_SX679_.jpg"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""543o2-167-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""543o2-167-0"" data-mce-fragment=""1"">Tamanho: 91.4 cm x 61 cm<br>Material: Madeira de Bétula<br>Fundo: Monólogo de Mulder com um buraco de verme no fundo.<br>Citação: ""Quero Acreditar"".</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"decoração, mais-vendidos",TRUE,Tamanho,10x15cm,,Estilo,0270-01,,,,,200000886:200005376#10x15cm No Frame;14:366#0270-01,0.0,shopify,0,continue,manual,54.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Hd9d5dda443d24cc39f324fe82cbce266n.jpg?v=1731967498,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Hd701062a11e34440a02b198682379f77a.jpg?v=1731967498,kg,,,TRUE,,,TRUE,,,active
rgb-led-strip-light-music-sound-control-pickup-rhythm-ambient-lamp-atmosphere-night-lights-for-bar-car-room-tv-gaming-decoration,Controle de Som com 18 Cores,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-large product-title-word-break"">Controle de Som com 18 Cores</span></h1>
<p style=""text-align: center;"">O Controle de Som com 18 Cores oferece uma nova forma de controle de som personalizável. Este controle de som único e durável vem com 18 cores diferentes, o que permite que se adapte a qualquer estilo. O conteúdo de áudio emitido ajusta-se com até 5 controles de volume independentes, cada um acompanhado de uma luz LED multicolorida.</p>
<p style=""text-align: center;""><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/71INVL5bYzL._AC_SY450_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1"">Tipo de dispositivo: Controle de som<br>Cores disponíveis: Prateado, preto, branco, amarelo, laranja, vermelho, púrpura, cinza, castanho, verde, azul, rosa, lima, lavanda, magenta, persa, cobalto, esmeralda, turquesa<br>Controles de volume: Até 5 controles de volume independentes<br>LED de controle de som: Luzes LED multicoloridas sincronizadas com o som<br>App: Aplicação Coloré para personalização de áudio e som<br>Compatibilidade: iOS, Android, Windows, Mac OS X, Nintendo Switch</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"decoração, mais-vendidos",TRUE,Estilo,16LED,,,,,,,,136:173#16LED Black USB,0.0,shopify,0,continue,manual,89.90,139.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Sa722b3b1fe4f4a0984445217f9ce2cf3c.jpg?v=1731967494,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S4adbc3bf7c574c9a837ee65cb9f7cc0eu.jpg?v=1731967494,kg,,,TRUE,,,TRUE,,,active
tope-kit-2-coffee-coffee-tea-chopp-heat-cup-473ml-c-lid-home-utility-sorts-color-quick-ship,Copo Térmico,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ffff00;"">Copo Térmico</span></h1>
<p style=""text-align: center;"">O Copo Térmico de 500 ml é uma excelente opção para manter as suas bebidas quentes por mais tempo. É feito de aço inoxidável resistente à corrosão e não afeta o sabor da sua bebida. Possui isolamento térmico que mantém as bebidas quentes por até 8 horas e frias por até 8 horas. Com uma tampa de rosca com fecho de segurança e um anel de vedação, pode levar a sua bebida de forma segura para onde quiser.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0708/2583/6820/products/A9f76eb20b792424d82095cea23c1c094A_500x.jpg?v=1676511591""></p>
<p style=""text-align: center;"">O seu design moderno, elegante e fino torna o seu copo térmico a melhor opção para uso ou para presente. Além disso, o copo térmico é fácil de lavar, livre de BPA e completamente seguro para o ambiente. Por estas e muitas outras qualidades, terá uma ótima experiência ao usar o seu Copo Térmico de 500 ml.</p>
<p style=""text-align: center;""><br></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Material: Aço Inoxidável<br>Capacidade: 500 ml<br>Peso: 280g<br>Isolamento: mantém líquidos quentes por até 8 horas e frios por até 8 horas<br>Tampa de rosca: Com fecho de segurança e anel de vedação<br>Livre de BPA: Sim<br>Design: moderno, fino e elegante<br>Reutilizável: Sim<br>Seguro para o ambiente: Sim</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"mais-vendidos, seu-lar",TRUE,Title,Default Title,,,,,,,,<none>,0.0,shopify,0,continue,manual,159.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/A9f76eb20b792424d82095cea23c1c094A.jpg?v=1731967489,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/A43460f8e316746488f3b9658f9167b65S.jpg?v=1731967489,kg,,,TRUE,,,TRUE,,,active
1-5-6pcs-paper-cut-knife-pen-refill-set-art-utility-knife-scrapbook-cutting-tool-precision-sticker-washi-tape-cutter-diy-craft,Caneta de Gravação Portátil,"<h1 style=""text-align: center;"" class=""ui-pdp-title""><span style=""color: #ffff00;"">Caneta de Gravação Portátil</span></h1>
<p style=""text-align: center;"">Esta caneta de gravação portátil é ideal para gravar e cortar materiais leves, como madeira, plástico, tecido, couro e muito mais. Possui duas funções: uma caneta motorizada e um cortador. Com o motor na ponta, é capaz de extrair tanto camadas superficiais quanto profundas.</p>
<p style=""text-align: center;""><span data-offset-key=""aklv4-362-0"" data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_934971-CBT53697316830_022023-O.webp""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""aklv4-362-0"" data-mce-fragment=""1""><br>Especificações:</span></h2>
<p><span data-offset-key=""aklv4-362-0"" data-mce-fragment=""1"">-Materiais: Madeira, Plástico, Couro, Tecido<br>-Tipo de Motor: Motor na ponta<br>-Cabo de Alimentação: Sim<br>-Controlo de Velocidade: Sim<br>-Design Ergonómico: Sim<br>-Função de Corte: Sim<br>-Peso: Leve</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"mais-vendidos, utilidades",TRUE,Estilo,5Pcs-A,,,,,,,,14:200006151#5Pcs-A,0.0,shopify,0,continue,manual,74.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S402221a8c6f34503850b6b224677b153v.jpg?v=1731967484,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S2f15fa57770c4e648ceaf71488d607c70.jpg?v=1731967484,kg,,,TRUE,,,TRUE,,,active
utili-key-multi-tool-multipurpose-screwdriver-pocket-multiuse-multitool-edc-gear-utility-outdoor-gadget-multifunction,Ferramenta Multiusos Mini 6 em 1,"<h1 class=""ui-pdp-title"" style=""text-align: center;""><span style=""color: #ffff00;"">Ferramenta Multiusos Mini 6 em 1</span></h1>
<p style=""text-align: center;"">Esta ferramenta multiusos mini 6 em 1 conta com um acabamento de aço inoxidável de alta qualidade e durabilidade, o que a torna de qualidade superior. Tem 6 funções: chave de fendas plana, cabeça Philips, bits de precisão, descarnador de fios, corta-cabos e laser. É compacta, portátil e perfeita para usar em qualquer momento.</p>
<p style=""text-align: center;""><img src=""https://http2.mlstatic.com/D_NQ_NP_938794-MLB41462574252_042020-O.webp""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Acabamento em aço inoxidável<br>Funções: chave de fendas plana, cabeça Philips, bits de precisão, descarnador de fios, corta-cabos e laser<br>Peso: 120 g<br>Dimensões: 20.3 cm x 3.2 cm x 1.3 cm</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"mais-vendidos, utilidades",TRUE,Cor,preto,,,,,,,,17:13,0.0,shopify,0,continue,manual,44.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Hdded040ee09b41969346dbb1d9bb04a3m.jpg?v=1731967479,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Hd6d49d252855452d951fec0e3cbb4b53i.jpg?v=1731967479,kg,,,TRUE,,,TRUE,,,active
deli-utility-knife-portable-pocket-box-cutter-retractable-paper-нож-18mm-9mm-metal-blade-for-office-school-stationery-supplies,Lâmina de Metal,"<h1 style=""text-align: center;""><span style=""color: #ffff00;"">Lâmina de Metal</span></h1>
<p style=""text-align: center;"">Uma lâmina de metal é uma peça muito fina de metal com bordas afiadas, encontrada em facas, navalhas ou outras ferramentas de corte. É feita de aço, ferro, bronze, cobre ou outros metais que podem ser facilmente moldados e temperados. O metal é forjado para criar uma barra de metal.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""1bjk2-135-0""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/dd6d0b18-1949-4830-bf35-4c1759103318_480x480.jpg?v=1681303339"" alt=""""></span></p>
<p style=""text-align: center;"">A lâmina de metal geralmente é fixada no topo de um cabo, mas também pode ser usada com um arco ou outro dispositivo que permita um uso mais preciso. É usada para cortar, raspar, esculpir ou fazer pequenos furos no material, seja total ou parcialmente.</p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""1bjk2-233-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""1bjk2-233-0"">Tipo de Metal: Ferro/Aço<br>Tamanho: Varia de acordo com o design.<br>Tratamento Térmico: Tipicamente aquecido e depois rapidamente resfriado.<br>Espessura da Lâmina: Varia conforme necessário.<br>Bordas Afiadas: Sim.</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"mais-vendidos, utilidades",TRUE,Estilo,1pc 2037S,,,,,,,,14:366#1pc 2037S,0.0,shopify,0,continue,manual,69.90,129.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S527ea38eec8b4177b9338481554069df8.jpg?v=1731967475,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S0ba9edb51fa34e49a4317fed85684993p.jpg?v=1731967476,kg,,,TRUE,,,TRUE,,,active
